#          b = 0.5
#          n:            1
# Eigenvalues: 7.432416658e-01 
#      r             u_1(r)
1.000000000e-01 6.80120707e-02 
2.00000000e-01 2.56205424e-01 
3.00000000e-01 5.21604572e-01 
4.00000000e-01 8.06153299e-01 
5.00000000e-01 1.05211849e+00 
6.00000000e-01 1.21585661e+00 
7.00000000e-01 1.27602556e+00 
8.00000000e-01 1.23468145e+00 
9.00000000e-01 1.11224342e+00 
1.00000000e+00 9.39037473e-01 
1.10000000e+00 7.46559818e-01 
1.20000000e+00 5.60875244e-01 
1.30000000e+00 3.99248454e-01 
1.40000000e+00 2.69832085e-01 
1.50000000e+00 1.73432002e-01 
1.60000000e+00 1.06151004e-01 
1.70000000e+00 6.19366376e-02 
1.80000000e+00 3.44816989e-02 
1.90000000e+00 1.83304417e-02 
2.00000000e+00 9.31056472e-03 
2.10000000e+00 4.52098583e-03 
2.20000000e+00 2.09964883e-03 
2.30000000e+00 9.33022121e-04 
2.40000000e+00 3.96845938e-04 
2.50000000e+00 1.61610986e-04 
2.60000000e+00 6.30314340e-05 
2.70000000e+00 2.35497266e-05 
2.80000000e+00 8.43044450e-06 
2.90000000e+00 2.89224246e-06 
3.00000000e+00 9.51072715e-07 
3.10000000e+00 2.99816364e-07 
3.20000000e+00 9.06193316e-08 
3.30000000e+00 2.62643073e-08 
3.40000000e+00 7.30030995e-09 
3.50000000e+00 1.94622555e-09 
3.60000000e+00 4.97695733e-10 
3.70000000e+00 1.22093465e-10 
3.80000000e+00 2.87352145e-11 
3.90000000e+00 6.48877868e-12 
4.00000000e+00 1.40594538e-12 
4.10000000e+00 2.92320396e-13 
4.20000000e+00 5.83258594e-14 
4.30000000e+00 1.11686031e-14 
4.40000000e+00 2.05255546e-15 
4.50000000e+00 3.62051539e-16 
4.60000000e+00 6.12978266e-17 
4.70000000e+00 9.96179023e-18 
4.80000000e+00 1.55404874e-18 
4.90000000e+00 2.32724993e-19 
5.00000000e+00 3.34570620e-20 
5.10000000e+00 4.61756790e-21 
5.20000000e+00 6.11833135e-22 
5.30000000e+00 7.78322585e-23 
5.40000000e+00 9.50616224e-24 
5.50000000e+00 1.11475932e-24 
5.60000000e+00 1.25515695e-25 
5.70000000e+00 1.35695725e-26 
5.80000000e+00 1.40862416e-27 
5.90000000e+00 1.40408720e-28 
6.00000000e+00 1.34391466e-29 
6.10000000e+00 1.23519696e-30 
6.20000000e+00 1.09017319e-31 
6.30000000e+00 9.23968175e-33 
6.40000000e+00 7.52017380e-34 
6.50000000e+00 5.87780102e-35 
6.60000000e+00 4.41188816e-36 
6.70000000e+00 3.18026205e-37 
6.80000000e+00 2.20158788e-38 
6.90000000e+00 1.46369133e-39 
7.00000000e+00 9.34563339e-41 
7.10000000e+00 5.73084839e-42 
7.20000000e+00 3.37508719e-43 
7.30000000e+00 1.90902548e-44 
7.40000000e+00 1.03705949e-45 
7.50000000e+00 5.41084633e-47 
7.60000000e+00 2.71144327e-48 
7.70000000e+00 1.30500950e-49 
7.80000000e+00 6.03265563e-51 
7.90000000e+00 2.67848266e-52 
8.00000000e+00 1.14224214e-53 
8.10000000e+00 4.67864409e-55 
8.20000000e+00 1.84067734e-56 
8.30000000e+00 6.95559610e-58 
8.40000000e+00 2.52460346e-59 
8.50000000e+00 8.80150831e-61 
8.60000000e+00 2.94733178e-62 
8.70000000e+00 9.48007388e-64 
8.80000000e+00 2.92892246e-65 
8.90000000e+00 8.69200720e-67 
9.00000000e+00 2.47771208e-68 
9.10000000e+00 6.78426149e-70 
9.20000000e+00 1.78434014e-71 
9.30000000e+00 4.50794184e-73 
9.40000000e+00 1.09397338e-74 
9.50000000e+00 2.55014640e-76 
9.60000000e+00 5.71025429e-78 
9.70000000e+00 1.22823014e-79 
9.80000000e+00 2.53769810e-81 
9.90000000e+00 5.03660548e-83 
1.00000000e+01 9.60230522e-85 
