#          b = 0.5
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.483073787e-01 8.471401626e-01 3.090381805e+00 6.326996072e+00 1.075246531e+01 1.629184652e+01 2.348819979e+01 3.215732287e+01 4.389262813e+01 5.861020748e+01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
1.000000000e-01 4.43563728e-02 5.99513017e-02 -6.37628278e-02 4.79551320e-02 2.62168796e-02 -7.32031720e-03 -1.37577887e-03 -5.07939054e-03 -3.66458526e-03 -3.65655896e-03 
2.00000000e-01 1.55899437e-01 2.12533402e-01 -2.46344383e-01 2.24737169e-01 1.69849324e-01 -9.78435830e-02 4.11984386e-02 -2.66626344e-04 -1.01338454e-02 -1.56214369e-02 
3.00000000e-01 2.98188056e-01 3.89352597e-01 -4.61427493e-01 4.70451012e-01 4.31862691e-01 -3.42165027e-01 2.29241425e-01 1.02359805e-01 2.57729595e-02 -2.27077296e-02 
4.00000000e-01 4.35879219e-01 5.12647024e-01 -5.78622980e-01 6.16722084e-01 6.42958804e-01 -6.33899221e-01 5.58148082e-01 3.93018749e-01 2.07368173e-01 3.37266847e-02 
5.00000000e-01 5.41603876e-01 5.26913258e-01 -5.05960727e-01 5.16053648e-01 5.82472635e-01 -7.00097326e-01 7.82469314e-01 7.63749673e-01 5.81083425e-01 2.69311028e-01 
6.00000000e-01 5.99886420e-01 4.17368154e-01 -2.45695479e-01 1.68302972e-01 1.94823389e-01 -3.60742123e-01 5.81690664e-01 8.53653980e-01 9.23702457e-01 7.40270364e-01 
7.00000000e-01 6.07617410e-01 2.10276967e-01 1.06660339e-01 -2.59564444e-01 -3.14057748e-01 2.19443558e-01 -5.02401452e-02 3.96542940e-01 7.79774145e-01 1.21228512e+00 
8.00000000e-01 5.71650989e-01 -4.15861915e-02 4.13215888e-01 -5.35236865e-01 -6.12017541e-01 6.02106668e-01 -6.58910430e-01 -3.36653311e-01 -2.33427957e-02 1.16862053e+00 
9.00000000e-01 5.04785318e-01 -2.79891506e-01 5.60634815e-01 -5.07148371e-01 -4.97943729e-01 4.56294796e-01 -7.08883195e-01 -6.59833469e-01 -9.04595819e-01 3.50924615e-01 
1.00000000e+00 4.21539424e-01 -4.59155928e-01 5.06238467e-01 -1.93437004e-01 -5.84899743e-02 -1.14801583e-01 -1.40521042e-01 -2.14055318e-01 -9.41501279e-01 -6.75483722e-01 
1.10000000e+00 3.34829475e-01 -5.56853139e-01 2.84376555e-01 2.37326545e-01 4.01804343e-01 -6.36574533e-01 5.21698612e-01 5.27429761e-01 2.17190587e-02 -8.97637869e-01 
1.20000000e+00 2.54085818e-01 -5.74038935e-01 -2.14850820e-02 5.68551766e-01 5.85171396e-01 -6.68451105e-01 6.65035405e-01 7.20663574e-01 9.66047645e-01 -6.55047277e-02 
1.30000000e+00 1.84787527e-01 -5.28918205e-01 -3.19834680e-01 6.50122857e-01 3.95121747e-01 -1.76549228e-01 1.76578987e-01 1.16350352e-01 7.84469519e-01 8.10625417e-01 
1.40000000e+00 1.29008737e-01 -4.47382398e-01 -5.43679095e-01 4.60486646e-01 -3.12017043e-02 4.53959954e-01 -4.72812722e-01 -6.33830775e-01 -3.36286290e-01 6.20658312e-01 
1.50000000e+00 8.64414192e-02 -3.54265987e-01 -6.63651692e-01 9.42393148e-02 -4.41971382e-01 7.49287796e-01 -6.94309007e-01 -7.14261507e-01 -1.06040702e+00 -3.85730530e-01 
1.60000000e+00 5.54428603e-02 -2.67679351e-01 -6.83434814e-01 -3.02323499e-01 -6.29874437e-01 5.13176660e-01 -3.07899332e-01 -4.73038739e-02 -5.11681206e-01 -8.75696266e-01 
1.70000000e+00 3.38479607e-02 -1.97097930e-01 -6.26453602e-01 -6.03886764e-01 -5.26121187e-01 -6.37320675e-02 3.44941981e-01 6.63930486e-01 6.56494692e-01 -1.93807340e-01 
1.80000000e+00 1.94770475e-02 -1.44518414e-01 -5.22649201e-01 -7.50411106e-01 -1.97634306e-01 -5.90377518e-01 7.33790745e-01 7.17857854e-01 1.06526738e+00 7.59997333e-01 
1.90000000e+00 1.03913621e-02 -1.07253073e-01 -3.99773818e-01 -7.50540377e-01 2.17507759e-01 -7.63199272e-01 5.70424844e-01 1.01540992e-01 2.49688431e-01 7.29836302e-01 
2.00000000e+00 4.98846910e-03 -8.08863136e-02 -2.79361317e-01 -6.55209079e-01 5.82723134e-01 -5.31677089e-01 -1.17374576e-02 -5.88176732e-01 -8.56794499e-01 -2.54422713e-01 
2.10000000e+00 2.01517184e-03 -6.13920989e-02 -1.75627253e-01 -5.23333496e-01 8.09572386e-01 -6.34560936e-02 -6.08679794e-01 -7.67525080e-01 -1.04762075e+00 -9.50017784e-01 
