#          b = 0.5
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.924250637e-01 2.379595318e-01 1.353795348e+00 2.973362552e+00 5.112616427e+00 7.754341059e+00 1.095216565e+01 1.467350919e+01 1.901713332e+01 2.392265106e+01 2.955622788e+01 3.581488634e+01 4.297284145e+01 5.086308071e+01 5.995069558e+01 6.997266712e+01 8.179414587e+01 9.502554829e+01 1.117403700e+02 1.318342824e+02 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
1.000000000e-01 4.08005403e-02 4.80004512e-02 -6.30780586e-02 -6.57369436e-02 5.82646790e-02 -4.41829707e-02 -2.88380956e-02 -1.47451258e-02 -5.05412454e-03 -1.31851310e-03 3.76672069e-03 -4.81672051e-03 -4.20838771e-03 3.86037264e-03 -2.92007051e-03 -2.67077960e-03 1.93846211e-03 -1.93558965e-03 1.29415900e-03 -1.58358665e-03 
2.00000000e-01 1.43142208e-01 1.64436905e-01 -2.18510059e-01 -2.42211507e-01 2.40977969e-01 -2.19113249e-01 -1.84201513e-01 -1.39698201e-01 -9.59721151e-02 5.44910378e-02 -2.47835515e-02 2.83301464e-03 -6.70468926e-03 1.20922522e-02 -1.09284332e-02 -1.06569247e-02 7.62906407e-03 -7.31770905e-03 4.69701243e-03 -5.49358598e-03 
3.00000000e-01 2.73390028e-01 2.92457104e-01 -3.71914041e-01 -4.12618365e-01 4.31101804e-01 -4.34295481e-01 -4.22495998e-01 -3.91110096e-01 -3.41789585e-01 2.72917521e-01 -1.99282365e-01 1.23537658e-01 6.55393379e-02 -2.03636408e-02 -9.14527412e-04 -1.34232152e-02 1.25576269e-02 -1.30983060e-02 8.13554593e-03 -8.88604479e-03 
4.00000000e-01 3.99168651e-01 3.74561380e-01 -4.22752500e-01 -4.33236409e-01 4.41903247e-01 -4.65821577e-01 -4.99422855e-01 -5.36042522e-01 -5.56914071e-01 5.50114474e-01 -5.05826421e-01 4.22481780e-01 3.17834801e-01 -2.02595470e-01 1.09835144e-01 3.78538452e-02 -4.58626257e-03 -1.37824011e-02 1.14913630e-02 -1.33985039e-02 
5.00000000e-01 4.95540633e-01 3.73781358e-01 -3.22751555e-01 -2.48320040e-01 1.99446502e-01 -1.97364304e-01 -2.32648661e-01 -3.09855107e-01 -4.05768485e-01 5.16965294e-01 -6.04993550e-01 6.54776661e-01 6.35702216e-01 -5.47224919e-01 4.10185303e-01 2.50459569e-01 -1.23207719e-01 2.97168797e-02 3.38654031e-03 -2.08158043e-02 
6.00000000e-01 5.48494389e-01 2.84158808e-01 -1.00464335e-01 6.22109803e-02 -1.66853060e-01 2.12863256e-01 2.22379538e-01 1.86041819e-01 1.13897224e-01 1.76305485e-02 -1.85292927e-01 3.92849777e-01 5.77489932e-01 -7.10054453e-01 7.28329344e-01 6.28182549e-01 -4.45063530e-01 2.31179892e-01 -8.27409544e-02 -1.00141727e-02 
7.00000000e-01 5.55313660e-01 1.28400026e-01 1.56792244e-01 3.32576598e-01 -4.12453255e-01 4.42455370e-01 4.64274206e-01 4.82563432e-01 4.98457736e-01 -4.83687564e-01 4.23291553e-01 -2.73862739e-01 -4.59397375e-02 -2.66429735e-01 5.64905219e-01 7.84295456e-01 -8.12431941e-01 6.46551162e-01 -3.73864364e-01 1.04453229e-01 
8.00000000e-01 5.22358778e-01 -5.40215857e-02 3.48314117e-01 4.16677869e-01 -3.66993146e-01 2.96979564e-01 2.53682889e-01 2.52728708e-01 2.93002123e-01 -3.72674783e-01 4.72415207e-01 -5.57301676e-01 -5.78410896e-01 4.58043094e-01 -1.84946035e-01 2.51337035e-01 -6.67899888e-01 9.30343304e-01 -8.36731730e-01 4.72315803e-01 
9.00000000e-01 4.61402743e-01 -2.22026239e-01 4.05765691e-01 2.74517329e-01 -6.40272431e-02 -1.04779711e-01 -2.13944074e-01 -2.68791345e-01 -2.81147849e-01 2.41704381e-01 -1.43204327e-01 -2.55009803e-02 -2.56105558e-01 4.87856932e-01 -6.43433853e-01 -5.39926677e-01 1.81799310e-01 4.83904636e-01 -9.45625154e-01 1.06639776e+00 
1.00000000e+00 3.85792578e-01 -3.45249736e-01 3.17261586e-01 -1.26522880e-02 2.88156851e-01 -4.30693328e-01 -4.87368794e-01 -5.12463857e-01 -5.29915528e-01 5.60400058e-01 -5.75326062e-01 5.75987259e-01 4.75249310e-01 -2.86888436e-01 -9.09569500e-02 -4.40989315e-01 7.61960221e-01 -4.41188312e-01 -1.19758335e-01 1.31224333e+00 
