#          b = 0.5
#          n:            1           2           3           4           5
# Eigenvalues: -3.099926750e-01 2.167576171e+00 6.530444813e+00 1.378255879e+01 2.404949236e+01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)
1.000000000e-01 5.10789888e-02 6.49549078e-02 -4.37913617e-02 -1.39470534e-02 4.36566228e-03 
2.00000000e-01 1.80766360e-01 2.47088410e-01 -2.14205906e-01 -1.18916316e-01 -1.61064298e-02 
3.00000000e-01 3.47767311e-01 4.80268839e-01 -4.86905837e-01 -3.73375593e-01 -1.58111762e-01 
4.00000000e-01 5.10931808e-01 6.66699881e-01 -7.35606389e-01 -7.00468128e-01 -4.98891396e-01 
5.00000000e-01 6.37821958e-01 7.21334023e-01 -8.07348411e-01 -8.83413147e-01 -9.55232520e-01 
6.00000000e-01 7.09766816e-01 6.05653607e-01 -6.21613643e-01 -7.09660239e-01 -1.24522949e+00 
7.00000000e-01 7.22678623e-01 3.38716448e-01 -2.24376610e-01 -1.59745028e-01 -1.06232168e+00 
8.00000000e-01 6.84272315e-01 -1.48970243e-02 2.34769158e-01 5.24775656e-01 -3.57572276e-01 
9.00000000e-01 6.09265290e-01 -3.71412799e-01 5.80811023e-01 9.70535755e-01 5.29769878e-01 
1.00000000e+00 5.14359507e-01 -6.56152285e-01 6.95035373e-01 9.12813881e-01 1.05938147e+00 
1.10000000e+00 4.14379917e-01 -8.23526777e-01 5.56627403e-01 3.70468103e-01 8.79660625e-01 
1.20000000e+00 3.20177158e-01 -8.63831890e-01 2.32585873e-01 -3.67241702e-01 1.06276214e-01 
1.30000000e+00 2.38177124e-01 -7.97724722e-01 -1.65837990e-01 -9.20784964e-01 -7.44233064e-01 
1.40000000e+00 1.71029775e-01 -6.63264688e-01 -5.31263970e-01 -1.03457231e+00 -1.11426021e+00 
1.50000000e+00 1.18726111e-01 -5.01610751e-01 -7.91793280e-01 -6.90451264e-01 -7.77375108e-01 
1.60000000e+00 7.97078221e-02 -3.46182659e-01 -9.20147677e-01 -7.41016420e-02 4.27660637e-02 
1.70000000e+00 5.17282639e-02 -2.17476937e-01 -9.25942303e-01 5.53869492e-01 8.56044409e-01 
1.80000000e+00 3.24146602e-02 -1.23151585e-01 -8.40601987e-01 9.89403509e-01 1.22418171e+00 
1.90000000e+00 1.95836940e-02 -6.14163746e-02 -7.02576320e-01 1.15209522e+00 9.90128599e-01 
2.00000000e+00 1.13889388e-02 -2.54450469e-02 -5.46733543e-01 1.07658191e+00 3.02997065e-01 
2.10000000e+00 6.36539854e-03 -7.12319163e-03 -3.98746417e-01 8.59197105e-01 -5.22730565e-01 
2.20000000e+00 3.41438551e-03 6.22489866e-04 -2.73645233e-01 6.00787706e-01 -1.19025876e+00 
