#          b = 1.2
#          n:            1
# Eigenvalues: -4.194826392e-01 
#      r             u_1(r)
1.000000000e-01 7.74882434e-03 
2.00000000e-01 3.06741055e-02 
3.00000000e-01 6.78288712e-02 
4.00000000e-01 1.17689114e-01 
5.00000000e-01 1.78231564e-01 
6.00000000e-01 2.47035560e-01 
7.00000000e-01 3.21402671e-01 
8.00000000e-01 3.98486738e-01 
9.00000000e-01 4.75426602e-01 
1.00000000e+00 5.49473925e-01 
1.10000000e+00 6.18109121e-01 
1.20000000e+00 6.79139568e-01 
1.30000000e+00 7.30775658e-01 
1.40000000e+00 7.71681932e-01 
1.50000000e+00 8.01002252e-01 
1.60000000e+00 8.18359651e-01 
1.70000000e+00 8.23832986e-01 
1.80000000e+00 8.17913734e-01 
1.90000000e+00 8.01447199e-01 
2.00000000e+00 7.75562843e-01 
2.10000000e+00 7.41598678e-01 
2.20000000e+00 7.01024409e-01 
2.30000000e+00 6.55367556e-01 
2.40000000e+00 6.06146082e-01 
2.50000000e+00 5.54810224e-01 
2.60000000e+00 5.02695294e-01 
2.70000000e+00 4.50986357e-01 
2.80000000e+00 4.00694846e-01 
2.90000000e+00 3.52646496e-01 
3.00000000e+00 3.07479408e-01 
3.10000000e+00 2.65650679e-01 
3.20000000e+00 2.27449812e-01 
3.30000000e+00 1.93017041e-01 
3.40000000e+00 1.62364777e-01 
3.50000000e+00 1.35400528e-01 
3.60000000e+00 1.11949876e-01 
3.70000000e+00 9.17783985e-02 
3.80000000e+00 7.46116594e-02 
3.90000000e+00 6.01527192e-02 
4.00000000e+00 4.80968511e-02 
4.10000000e+00 3.81433692e-02 
4.20000000e+00 3.00046567e-02 
4.30000000e+00 2.34126084e-02 
4.40000000e+00 1.81227925e-02 
4.50000000e+00 1.39166830e-02 
4.60000000e+00 1.06023315e-02 
4.70000000e+00 8.01383698e-03 
4.80000000e+00 6.00994368e-03 
4.90000000e+00 4.47205662e-03 
5.00000000e+00 3.30191899e-03 
5.10000000e+00 2.41914609e-03 
5.20000000e+00 1.75876508e-03 
5.30000000e+00 1.26886774e-03 
5.40000000e+00 9.08447163e-04 
5.50000000e+00 6.45459705e-04 
5.60000000e+00 4.55130016e-04 
5.70000000e+00 3.18499585e-04 
5.80000000e+00 2.21207041e-04 
5.90000000e+00 1.52480690e-04 
6.00000000e+00 1.04319443e-04 
6.10000000e+00 7.08367175e-05 
6.20000000e+00 4.77421752e-05 
6.30000000e+00 3.19377306e-05 
6.40000000e+00 2.12066027e-05 
6.50000000e+00 1.39768765e-05 
6.60000000e+00 9.14381888e-06 
6.70000000e+00 5.93785714e-06 
6.80000000e+00 3.82756370e-06 
6.90000000e+00 2.44912702e-06 
7.00000000e+00 1.55561386e-06 
7.10000000e+00 9.80842058e-07 
7.20000000e+00 6.13914797e-07 
7.30000000e+00 3.81446488e-07 
7.40000000e+00 2.35277392e-07 
7.50000000e+00 1.44062919e-07 
7.60000000e+00 8.75696992e-08 
7.70000000e+00 5.28432087e-08 
7.80000000e+00 3.16564389e-08 
7.90000000e+00 1.88267876e-08 
8.00000000e+00 1.11156604e-08 
8.10000000e+00 6.51542357e-09 
8.20000000e+00 3.79141836e-09 
8.30000000e+00 2.19036072e-09 
8.40000000e+00 1.25628319e-09 
8.50000000e+00 7.15353017e-10 
8.60000000e+00 4.04405558e-10 
8.70000000e+00 2.26976260e-10 
8.80000000e+00 1.26477438e-10 
8.90000000e+00 6.99709188e-11 
9.00000000e+00 3.84323108e-11 
9.10000000e+00 2.09581163e-11 
9.20000000e+00 1.13471596e-11 
9.30000000e+00 6.09963040e-12 
9.40000000e+00 3.25539364e-12 
9.50000000e+00 1.72500064e-12 
9.60000000e+00 9.07533840e-13 
9.70000000e+00 4.74052246e-13 
9.80000000e+00 2.45856297e-13 
9.90000000e+00 1.26598944e-13 
1.00000000e+01 6.47253298e-14 
