#          b = 1.2
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.919461446e-01 -8.090469106e-02 2.741203525e-01 8.009204848e-01 1.560513588e+00 2.477430159e+00 3.734975746e+00 5.156771413e+00 7.234374253e+00 9.545778493e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
1.000000000e-01 -7.48020550e-03 2.58250162e-03 -2.00165932e-03 8.08154353e-05 -1.33680548e-03 -2.01187701e-03 1.52956660e-03 1.25813185e-03 7.13290259e-04 6.57844148e-04 
2.00000000e-01 -2.94803492e-02 1.14127864e-02 -1.05864515e-02 -3.22187041e-03 -2.43076877e-03 -6.82705698e-03 6.09200587e-03 5.60434900e-03 3.24836571e-03 2.96891204e-03 
3.00000000e-01 -6.49633125e-02 2.74832580e-02 -2.86756532e-02 -1.50177850e-02 2.21704895e-03 -1.05922152e-02 1.20557457e-02 1.31096088e-02 7.95747189e-03 7.30499748e-03 
4.00000000e-01 -1.12434068e-01 5.09209545e-02 -5.76150635e-02 -3.92189696e-02 1.84286864e-02 -7.29684914e-03 1.53573952e-02 2.21678580e-02 1.45601565e-02 1.37947740e-02 
5.00000000e-01 -1.70010775e-01 8.10177398e-02 -9.69735210e-02 -7.75933170e-02 5.07247886e-02 9.85805980e-03 9.79443983e-03 2.89089375e-02 2.16513634e-02 2.22027108e-02 
6.00000000e-01 -2.35511588e-01 1.16325559e-01 -1.44575426e-01 -1.29197591e-01 1.00841159e-01 4.65238989e-02 -1.17602389e-02 2.71700306e-02 2.62037351e-02 3.17013995e-02 
7.00000000e-01 -3.06552234e-01 1.54805781e-01 -1.96753286e-01 -1.90284803e-01 1.66739642e-01 1.05174490e-01 -5.53603793e-02 9.32881541e-03 2.33061076e-02 4.05029040e-02 
8.00000000e-01 -3.80648982e-01 1.94017767e-01 -2.48780861e-01 -2.54699539e-01 2.42366977e-01 1.83535152e-01 -1.23646409e-01 -3.19200762e-02 6.45057833e-03 4.54045888e-02 
9.00000000e-01 -4.55321499e-01 2.31329421e-01 -2.95428134e-01 -3.14694668e-01 3.18260608e-01 2.73958775e-01 -2.13818089e-01 -1.01098097e-01 -3.13672696e-02 4.14355194e-02 
1.00000000e+00 -5.28190363e-01 2.64131688e-01 -3.31568062e-01 -3.62036582e-01 3.82924209e-01 3.64038729e-01 -3.16613198e-01 -1.97383434e-01 -9.56740516e-02 2.19072801e-02 
