#          b = 1.2
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.967549723e-01 -1.177596507e-01 5.324275529e-02 3.123752342e-01 6.711524672e-01 1.114759789e+00 1.663833910e+00 2.294645497e+00 3.046654324e+00 3.879886020e+00 4.859755887e+00 5.921904160e+00 7.171382046e+00 8.506395763e+00 1.009840647e+01 1.178417294e+01 1.386449074e+01 1.606332517e+01 1.902646050e+01 2.223855487e+01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
1.000000000e-01 7.48436252e-03 -2.14211762e-03 -2.29071852e-03 -1.64751517e-03 5.10982009e-04 -8.25996955e-04 1.58600834e-03 -2.03338235e-03 -1.90458964e-03 -1.72214827e-03 -1.34130632e-03 -1.11964791e-03 -8.40144035e-04 7.29818209e-04 5.50347205e-04 -5.13566345e-04 -3.78792045e-04 3.84733939e-04 2.59879739e-04 -3.11103588e-04 
2.00000000e-01 2.95082152e-02 -9.35920623e-03 -1.07965766e-02 -9.48121719e-03 5.87998262e-03 6.82342040e-04 3.06116982e-03 -6.11914438e-03 -6.77917587e-03 -6.97593406e-03 -5.82679835e-03 -5.08918401e-03 -3.86202623e-03 3.34181525e-03 2.49172913e-03 -2.29560399e-03 -1.67692787e-03 1.68759208e-03 1.13227748e-03 -1.34582378e-03 
3.00000000e-01 6.50505482e-02 -2.23360001e-02 -2.70666759e-02 -2.67198515e-02 2.11178873e-02 1.08515802e-02 -2.06585972e-03 -6.73338894e-03 -1.07409300e-02 -1.37011422e-02 -1.26949661e-02 -1.19960104e-02 -9.38804840e-03 8.20601918e-03 6.06197086e-03 -5.49548836e-03 -3.95298451e-03 3.91740148e-03 2.59681224e-03 -3.04848365e-03 
4.00000000e-01 1.12630748e-01 -4.10801033e-02 -5.13380154e-02 -5.46354606e-02 4.91949380e-02 3.48275120e-02 -2.05700032e-02 3.66820922e-03 -6.84938611e-03 -1.64867096e-02 -1.84256142e-02 -2.00173705e-02 -1.66489027e-02 1.51015943e-02 1.11689060e-02 -9.99195182e-03 -7.04784542e-03 6.83517441e-03 4.45092994e-03 -5.13121517e-03 
5.00000000e-01 1.70378931e-01 -6.49555917e-02 -8.25329442e-02 -9.22742019e-02 9.01258031e-02 7.47558511e-02 -5.69991297e-02 3.20805127e-02 1.30237084e-02 -7.27327984e-03 -1.64641114e-02 -2.46211393e-02 -2.30383830e-02 2.27744864e-02 1.72499683e-02 -1.54552306e-02 -1.06968032e-02 1.01063088e-02 6.42604397e-03 -7.22991269e-03 
6.00000000e-01 2.36122135e-01 -9.27650269e-02 -1.18410701e-01 -1.36546176e-01 1.40673462e-01 1.28639898e-01 -1.11516878e-01 8.19708852e-02 5.51393424e-02 2.23237535e-02 1.64532073e-03 -1.85695418e-02 -2.35624573e-02 2.83522671e-02 2.29568659e-02 -2.13353608e-02 -1.46491906e-02 1.35082149e-02 8.34657552e-03 -9.10858749e-03 
7.00000000e-01 3.07481487e-01 -1.22871029e-01 -1.55849055e-01 -1.82658393e-01 1.94726621e-01 1.90183118e-01 -1.78785790e-01 1.50888366e-01 1.20597234e-01 7.75355169e-02 4.35602148e-02 6.70324186e-03 -1.10261979e-02 2.68632647e-02 2.56349307e-02 -2.66059247e-02 -1.86474754e-02 1.70690859e-02 1.02523201e-02 -1.08107228e-02 
8.00000000e-01 3.81974945e-01 -1.53345769e-01 -1.91218762e-01 -2.24815307e-01 2.44275529e-01 2.49692314e-01 -2.48314171e-01 2.29569275e-01 2.03027954e-01 1.56922088e-01 1.12435738e-01 5.81971790e-02 2.25082915e-02 1.13567208e-02 2.07973164e-02 -2.91880623e-02 -2.21179107e-02 2.09991853e-02 1.24084281e-02 -1.26822027e-02 
9.00000000e-01 4.57120160e-01 -1.82135099e-01 -2.20805117e-01 -2.57075045e-01 2.80799846e-01 2.95870252e-01 -3.06301996e-01 3.03057414e-01 2.88349929e-01 2.50253898e-01 2.03473102e-01 1.37522154e-01 8.28373226e-02 -2.58078954e-02 2.07448904e-03 -2.52235903e-02 -2.35237947e-02 2.53086288e-02 1.51525622e-02 -1.52517089e-02 
1.00000000e+00 5.30532172e-01 -2.07223616e-01 -2.41228065e-01 -2.74231289e-01 2.96809142e-01 3.18121123e-01 -3.38613097e-01 3.53770714e-01 3.57105189e-01 3.39019850e-01 3.02304728e-01 2.37476629e-01 1.69861301e-01 -9.02282138e-02 -3.77438914e-02 -8.68576708e-03 -1.95459156e-02 2.90957674e-02 1.85591598e-02 -1.90133920e-02 
1.10000000e+00 6.00011294e-01 -2.26787741e-01 -2.49815132e-01 -2.72592265e-01 2.87253485e-01 3.08873056e-01 -3.34181628e-01 3.65838893e-01 3.89064675e-01 4.00041451e-01 3.86505699e-01 3.40737931e-01 2.74303611e-01 -1.81701065e-01 -1.04177939e-01 2.79703988e-02 -4.53731350e-03 2.96479730e-02 2.19296333e-02 -2.41745534e-02 
1.20000000e+00 6.63617282e-01 -2.39325705e-01 -2.44889151e-01 -2.50548250e-01 2.50550222e-01 2.65413045e-01 -2.88015084e-01 3.29594034e-01 3.68977896e-01 4.11596992e-01 4.30584209e-01 4.22056241e-01 3.76684815e-01 -2.90727633e-01 -1.97305485e-01 9.15420371e-02 2.90815427e-02 2.17125784e-02 2.31614926e-02 -3.03933706e-02 
1.30000000e+00 7.19726984e-01 -2.43756010e-01 -2.25944234e-01 -2.08853428e-01 1.89046021e-01 1.90830260e-01 -2.03022203e-01 2.44958014e-01 2.91814938e-01 3.60427039e-01 4.13489278e-01 4.54271954e-01 4.50037223e-01 -3.97172415e-01 -3.07996124e-01 1.84232870e-01 8.88648189e-02 -2.49271101e-03 1.81427207e-02 -3.64644063e-02 
1.40000000e+00 7.67073728e-01 -2.39479067e-01 -1.93697097e-01 -1.50590899e-01 1.08835444e-01 9.38492053e-02 -9.01555099e-02 1.22689779e-01 1.65812947e-01 2.47399877e-01 3.26461766e-01 4.16937902e-01 4.66686284e-01 -4.72816802e-01 -4.16105469e-01 2.99270814e-01 1.78678049e-01 -5.18915701e-02 4.77903734e-04 -3.98768982e-02 
1.50000000e+00 8.04767911e-01 -2.26400093e-01 -1.50014948e-01 -8.08346646e-02 1.89692618e-02 -1.24373926e-02 3.32506254e-02 -1.70203110e-02 1.21433106e-02 8.97376579e-02 1.78464034e-01 3.04906499e-01 4.07695118e-01 -4.88401124e-01 -4.92636791e-01 4.18020927e-01 2.94104369e-01 -1.33400711e-01 -3.79684030e-02 -3.62465427e-02 
1.60000000e+00 8.32299312e-01 -2.04914591e-01 -9.77340669e-02 -6.06271917e-03 -6.98125469e-02 -1.12703686e-01 1.46641734e-01 -1.48432755e-01 -1.39066468e-01 -8.14219875e-02 -3.20167661e-03 1.33596793e-01 2.71937862e-01 -4.23831177e-01 -5.06803072e-01 5.10975060e-01 4.18758096e-01 -2.47339832e-01 -1.05170499e-01 -1.88387823e-02 
1.70000000e+00 8.49522655e-01 -1.75860578e-01 -4.03936416e-02 6.65941088e-02 -1.46613643e-01 -1.91991078e-01 2.30246509e-01 -2.45776156e-01 -2.55556635e-01 -2.27960929e-01 -1.78134570e-01 -6.17667375e-02 8.10429618e-02 -2.78263812e-01 -4.36863969e-01 5.44168626e-01 5.23978641e-01 -3.82765654e-01 -2.05411339e-01 2.13014740e-02 
1.80000000e+00 8.56628721e-01 -1.40443954e-01 1.80836705e-02 1.30165951e-01 -2.01934396e-01 -2.38285206e-01 2.69063362e-01 -2.89098838e-01 -3.10915032e-01 -3.14567844e-01 -3.03058098e-01 -2.33860830e-01 -1.22800165e-01 -7.57632477e-02 -2.81305575e-01 4.90487923e-01 5.73949199e-01 -5.15072233e-01 -3.34579847e-01 9.39028826e-02 
1.90000000e+00 8.54103888e-01 -1.00144892e-01 7.37300042e-02 1.78616468e-01 -2.29005498e-01 -2.44593402e-01 2.55970074e-01 -2.69027228e-01 -2.91587228e-01 -3.18669938e-01 -3.44287829e-01 -3.36357658e-01 -2.86944534e-01 1.37080459e-01 -6.55173276e-02 3.42622509e-01 5.36478808e-01 -6.08438337e-01 -4.75832685e-01 2.06150814e-01 
2.00000000e+00 8.42681298e-01 -5.66138121e-02 1.22855844e-01 2.07481990e-01 -2.24706877e-01 -2.10150482e-01 1.93288419e-01 -1.89243424e-01 -2.00955850e-01 -2.37534240e-01 -2.88613184e-01 -3.38587543e-01 -3.64036993e-01 3.02631856e-01 1.60365086e-01 1.22332402e-01 3.96876601e-01 -6.24593032e-01 -5.98132568e-01 3.57651472e-01 
2.10000000e+00 8.23286996e-01 -1.15653749e-02 1.62329704e-01 2.14307838e-01 -1.89949674e-01 -1.40551554e-01 9.24728970e-02 -6.60377555e-02 -5.92605832e-02 -9.02282053e-02 -1.48902552e-01 -2.36835543e-01 -3.28485799e-01 3.70209142e-01 3.34012659e-01 -1.19408027e-01 1.69681116e-01 -5.36811044e-01 -6.60317383e-01 5.35019834e-01 
2.20000000e+00 7.96984222e-01 3.33218021e-02 1.89791695e-01 1.98842373e-01 -1.29486725e-01 -4.68116831e-02 -2.80052154e-02 7.50029184e-02 1.00771141e-01 8.64437425e-02 3.78282151e-02 -5.79479762e-02 -1.87611929e-01 3.14733254e-01 4.01142742e-01 -3.14239125e-01 -9.79640763e-02 -3.44797551e-01 -6.22008169e-01 7.08674348e-01 
2.30000000e+00 7.64918788e-01 7.64933604e-02 2.03787305e-01 1.62981722e-01 -5.12042876e-02 5.64560980e-02 -1.46131643e-01 2.04424958e-01 2.41558445e-01 2.47146245e-01 2.19833818e-01 1.46783393e-01 1.73770313e-02 1.48790609e-01 3.36673398e-01 -3.98297858e-01 -3.35595182e-01 -8.37405399e-02 -4.59750302e-01 8.34936168e-01 
