#          b = 1.2
#          n:            1           2           3           4           5
# Eigenvalues: -4.832252533e-01 5.849713708e-02 7.392131362e-01 2.000011521e+00 3.575814346e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)
1.000000000e-01 -7.47156278e-03 3.12383655e-03 7.80039820e-05 -1.33945092e-03 -1.76688823e-03 
2.00000000e-01 -2.94247866e-02 1.42028445e-02 3.55790258e-03 -3.36136807e-03 -7.23661343e-03 
3.00000000e-01 -6.47924900e-02 3.49699885e-02 1.51126606e-02 -1.80670088e-03 -1.53984213e-02 
4.00000000e-01 -1.12052745e-01 6.59717970e-02 3.84922617e-02 8.60542949e-03 -2.32225554e-02 
5.00000000e-01 -1.69301309e-01 1.06556089e-01 7.58314352e-02 3.30595085e-02 -2.56354221e-02 
6.00000000e-01 -2.34339367e-01 1.54962460e-01 1.27197605e-01 7.53648060e-02 -1.60656042e-02 
7.00000000e-01 -3.04771553e-01 2.08501791e-01 1.90436508e-01 1.36768950e-01 1.24378360e-02 
8.00000000e-01 -3.78108790e-01 2.63804555e-01 2.61329400e-01 2.15115333e-01 6.56609475e-02 
9.00000000e-01 -4.51870455e-01 3.17113382e-01 3.34032653e-01 3.04544889e-01 1.46532948e-01 
1.00000000e+00 -5.23680674e-01 3.64593523e-01 4.01733954e-01 3.95851221e-01 2.53648351e-01 
1.10000000e+00 -5.91354219e-01 4.02635390e-01 4.57433907e-01 4.77482350e-01 3.80373451e-01 
1.20000000e+00 -6.52968333e-01 4.28125880e-01 4.94750319e-01 5.37063958e-01 5.14832487e-01 
1.30000000e+00 -7.06917924e-01 4.38669555e-01 5.08645396e-01 5.63219703e-01 6.40919644e-01 
1.40000000e+00 -7.51952679e-01 4.32746079e-01 4.95991755e-01 5.47402506e-01 7.40286649e-01 
1.50000000e+00 -7.87195808e-01 4.09796385e-01 4.55918497e-01 4.85437890e-01 7.95051322e-01 
1.60000000e+00 -8.12145192e-01 3.70236080e-01 3.89909122e-01 3.78518940e-01 7.90803059e-01 
1.70000000e+00 -8.26658582e-01 3.15400240e-01 3.01654458e-01 2.33475278e-01 7.19384459e-01 
1.80000000e+00 -8.30925229e-01 2.47428529e-01 1.96691712e-01 6.22510256e-02 5.80927921e-01 
1.90000000e+00 -8.25426751e-01 1.69103280e-01 8.18821259e-02 -1.19350506e-01 3.84726409e-01 
2.00000000e+00 -8.10890339e-01 8.36555200e-02 -3.52073799e-02 -2.93485333e-01 1.48702861e-01 
2.10000000e+00 -7.88237375e-01 -5.44502103e-03 -1.46949373e-01 -4.42396827e-01 -1.02520716e-01 
2.20000000e+00 -7.58530393e-01 -9.47001628e-02 -2.46263154e-01 -5.50557178e-01 -3.40709413e-01 
2.30000000e+00 -7.22921013e-01 -1.80779458e-01 -3.27130482e-01 -6.06530267e-01 -5.37806095e-01 
2.40000000e+00 -6.82601026e-01 -2.60690323e-01 -3.84981665e-01 -6.04311609e-01 -6.69846621e-01 
