#          b = 2
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.723574083e-01 -1.198526271e-01 3.942431449e-03 1.769104105e-01 4.447129366e-01 7.571710995e-01 1.213006080e+00 1.695438311e+00 2.458809393e+00 3.219439565e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
1.000000000e-01 -2.02887276e-03 4.80772895e-04 6.91615097e-04 -1.03177138e-03 -9.66310936e-04 -8.34944549e-04 5.31297260e-04 3.92505552e-04 2.29167842e-04 2.07257405e-04 
2.00000000e-01 -8.15968079e-03 1.54912394e-03 2.32654976e-03 -3.75057918e-03 -3.71774883e-03 -3.47276332e-03 2.31108212e-03 1.75423979e-03 1.01364251e-03 9.05034351e-04 
3.00000000e-01 -1.84187551e-02 2.66187985e-03 4.21535549e-03 -7.44417834e-03 -7.80311359e-03 -7.90397929e-03 5.51409774e-03 4.33896389e-03 2.49330191e-03 2.19747372e-03 
4.00000000e-01 -3.27787034e-02 3.31209131e-03 5.66049935e-03 -1.12508663e-02 -1.24893424e-02 -1.38063719e-02 1.01208048e-02 8.33108312e-03 4.78911911e-03 4.17321113e-03 
5.00000000e-01 -5.11586000e-02 3.04332049e-03 5.99451679e-03 -1.42258587e-02 -1.68152929e-02 -2.05295489e-02 1.58579171e-02 1.37892503e-02 7.98339435e-03 6.90322511e-03 
6.00000000e-01 -7.34250764e-02 1.46197489e-03 4.61550233e-03 -1.54127299e-02 -1.96691555e-02 -2.71156037e-02 2.21596130e-02 2.05864878e-02 1.20927731e-02 1.04383365e-02 
7.00000000e-01 -9.93942892e-02 -1.75262349e-03 1.01845086e-03 -1.39153369e-02 -1.98833910e-02 -3.23566495e-02 2.81585083e-02 2.83549867e-02 1.70344431e-02 1.48043164e-02 
8.00000000e-01 -1.28834724e-01 -6.84066629e-03 -5.17880986e-03 -8.96573022e-03 -1.63396241e-02 -3.48862442e-02 3.27129587e-02 3.64452679e-02 2.25877136e-02 1.99922751e-02 
9.00000000e-01 -1.61470775e-01 -1.39569339e-02 -1.42160787e-02 1.61039792e-05 -8.07506134e-03 -3.32980994e-02 3.44736104e-02 4.39097207e-02 2.83552682e-02 2.59422224e-02 
1.00000000e+00 -1.96987028e-01 -2.31685810e-02 -2.61783054e-02 1.33742433e-02 5.61819208e-03 -2.62823749e-02 3.19877078e-02 4.95194150e-02 3.37304174e-02 3.25185399e-02 
