#          b = 2
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.874323301e-01 -1.233597036e-01 -4.422850581e-02 3.798368206e-02 1.597917592e-01 3.119509956e-01 5.063160760e-01 7.264286393e-01 9.962343642e-01 1.288230969e+00 1.642094801e+00 2.014295313e+00 2.467507553e+00 2.934109992e+00 3.513823665e+00 4.099827425e+00 4.860724129e+00 5.616811217e+00 6.707545218e+00 7.778808423e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
1.000000000e-01 2.00550343e-03 -5.27353995e-04 -5.31353617e-04 8.10205287e-04 9.86184981e-04 -1.09126494e-03 -1.00784823e-03 -8.90337995e-04 6.97413757e-04 5.57237127e-04 -4.17123219e-04 -3.42058032e-04 -2.63059153e-04 2.32617650e-04 -1.81079578e-04 -1.71220726e-04 -1.29338998e-04 -1.31400873e-04 9.05303362e-05 -1.04909179e-04 
2.00000000e-01 8.07148256e-03 -1.74248129e-03 -1.78999033e-03 2.80678774e-03 3.52131963e-03 -4.09947109e-03 -3.95815696e-03 -3.69090507e-03 3.00670885e-03 2.48539815e-03 -1.88241285e-03 -1.54520188e-03 -1.17746075e-03 1.03049421e-03 -7.95779581e-04 -7.47676842e-04 -5.62699824e-04 -5.69704479e-04 3.91655699e-04 -4.52784012e-04 
3.00000000e-01 1.82328780e-02 -3.10974864e-03 -3.26055052e-03 5.27148005e-03 6.81234731e-03 -8.36454090e-03 -8.43148896e-03 -8.30676142e-03 7.04313057e-03 6.05238520e-03 -4.66455162e-03 -3.85780783e-03 -2.91996310e-03 2.52881033e-03 -1.93255193e-03 -1.79931660e-03 -1.34591245e-03 -1.35502093e-03 9.27771329e-04 -1.06804417e-03 
4.00000000e-01 3.24716980e-02 -4.12554242e-03 -4.43279124e-03 7.43978391e-03 9.91784116e-03 -1.29329548e-02 -1.36157469e-02 -1.42200750e-02 1.25661780e-02 1.12832963e-02 -8.89595861e-03 -7.46659438e-03 -5.63544293e-03 4.83707729e-03 -3.65202285e-03 -3.36097316e-03 -2.49244480e-03 -2.48950085e-03 1.69438532e-03 -1.93869224e-03 
5.00000000e-01 5.07170331e-02 -4.33243668e-03 -4.82719160e-03 8.55574751e-03 1.18340774e-02 -1.66520926e-02 -1.83731351e-02 -2.04914392e-02 1.89212529e-02 1.78637038e-02 -1.44835814e-02 -1.24350819e-02 -9.40702254e-03 8.03054702e-03 -5.98660743e-03 -5.43466496e-03 -3.98518450e-03 -3.93930243e-03 2.65976783e-03 -3.01887061e-03 
6.00000000e-01 7.28459586e-02 -3.33155149e-03 -4.01828391e-03 7.92471206e-03 1.15854002e-02 -1.82867795e-02 -2.13517257e-02 -2.58218242e-02 2.50371278e-02 2.50751799e-02 -2.10259505e-02 -1.86312697e-02 -1.42146039e-02 1.21366565e-02 -8.94170991e-03 -7.99799023e-03 -5.78432195e-03 -5.64363078e-03 3.77187811e-03 -4.23807750e-03 
7.00000000e-01 9.86853074e-02 -7.92786822e-04 -1.65479952e-03 4.96110173e-03 8.31214686e-03 -1.66473901e-02 -2.11308653e-02 -2.86722665e-02 2.94881886e-02 3.17818479e-02 -2.77547286e-02 -2.56545896e-02 -1.98829040e-02 1.71124754e-02 -1.24945886e-02 -1.10160055e-02 -7.83996353e-03 -7.52960280e-03 4.96948850e-03 -5.51543173e-03 
8.00000000e-01 1.28014274e-01 3.53730968e-03 2.52412059e-03 -7.71310296e-04 1.34972437e-03 -1.07179147e-02 -1.63857945e-02 -2.74308882e-02 3.06218265e-02 3.64815720e-02 -3.35194511e-02 -3.27767815e-02 -2.60242922e-02 2.28105300e-02 -1.65861190e-02 -1.44522453e-02 -1.01068143e-02 -9.53058585e-03 6.19566026e-03 -6.77640671e-03 
9.00000000e-01 1.60567797e-01 9.83020272e-03 8.67721237e-03 -9.52874007e-03 -9.70682035e-03 2.27563921e-04 -6.05446966e-03 -2.06102938e-02 2.67419747e-02 3.74271976e-02 -3.68311144e-02 -3.89141338e-02 -3.19864373e-02 2.89334693e-02 -2.11010754e-02 -1.82733130e-02 -1.25571391e-02 -1.16048159e-02 7.41127274e-03 -7.96898235e-03 
1.00000000e+00 1.96040645e-01 1.81726369e-02 1.68542276e-02 -2.13678303e-02 -2.49572702e-02 1.65305065e-02 1.05110876e-02 -7.05362981e-03 1.63308601e-02 3.28130084e-02 -3.59736335e-02 -4.26484037e-02 -3.68188842e-02 3.49825397e-02 -2.58345299e-02 -2.24412023e-02 -1.51874428e-02 -1.37506022e-02 8.60622402e-03 -9.07628402e-03 
1.10000000e+00 2.34092127e-01 2.85665082e-02 2.69940658e-02 -3.61380330e-02 -4.41728776e-02 3.80842994e-02 3.34254661e-02 1.38747795e-02 -1.71614895e-03 2.10106720e-02 -2.91825495e-02 -4.23099547e-02 -3.92749326e-02 4.02099763e-02 -3.04455950e-02 -2.68886151e-02 -1.80141342e-02 -1.60143035e-02 9.80618368e-03 -1.01234609e-02 
1.20000000e+00 2.74351326e-01 4.09312558e-02 3.89278246e-02 -5.34861078e-02 -6.67967189e-02 6.43074146e-02 6.21963267e-02 4.21379431e-02 -2.78720895e-02 8.29036481e-04 -1.48789122e-02 -3.61290969e-02 -3.78644239e-02 4.35900283e-02 -3.44046485e-02 -3.14752805e-02 -2.10540977e-02 -1.84875231e-02 1.10732911e-02 -1.11776559e-02 
1.30000000e+00 3.16422753e-01 5.51086162e-02 5.23864925e-02 -7.28722444e-02 -9.19676552e-02 9.41563102e-02 9.57062131e-02 7.69344587e-02 -6.18066227e-02 -2.82351530e-02 8.06527896e-03 -2.24509266e-02 -3.09684925e-02 4.38260193e-02 -3.69455636e-02 -3.59276298e-02 -2.42877960e-02 -2.12906156e-02 1.24998083e-02 -1.23411966e-02 
1.40000000e+00 3.59892303e-01 7.08695130e-02 6.70128191e-02 -9.35966981e-02 -1.18566185e-01 1.26177746e-01 1.32254091e-01 1.16681505e-01 -1.02288086e-01 -6.57918717e-02 4.00633902e-02 3.48642213e-06 -1.70189159e-02 3.94102561e-02 -3.70390852e-02 -3.97697237e-02 -2.76053884e-02 -2.45406708e-02 1.41943072e-02 -1.37392994e-02 
1.50000000e+00 4.04333399e-01 8.79227999e-02 8.23767435e-02 -1.14835295e-01 -1.45279017e-01 1.58596956e-01 1.69655317e-01 1.59080053e-01 -1.47179695e-01 -1.10432488e-01 8.05914795e-02 3.18589455e-02 5.26687183e-03 2.87488233e-02 -3.34059175e-02 -4.22592104e-02 -3.07402953e-02 -2.83037165e-02 1.62603874e-02 -1.55043505e-02 
1.60000000e+00 4.49313215e-01 1.05925526e-01 9.79936306e-02 -1.35681725e-01 -1.70677982e-01 1.89435206e-01 2.05393128e-01 2.01261152e-01 -1.93540317e-01 -1.59712582e-01 1.28046578e-01 7.28301126e-02 3.66171705e-02 1.03541235e-02 -2.45869389e-02 -4.23470507e-02 -3.31993430e-02 -3.25330559e-02 1.87681775e-02 -1.77589987e-02 
1.70000000e+00 4.94398835e-01 1.24494361e-01 1.13344478e-01 -1.55194242e-01 -1.93308012e-01 2.16647885e-01 2.36809699e-01 2.40003327e-01 -2.37828353e-01 -2.10259785e-01 1.79720480e-01 1.21531744e-01 7.69383175e-02 -1.69048048e-02 -9.08230086e-03 -3.86823057e-02 -3.42034073e-02 -3.69985003e-02 2.17190716e-02 -2.05997734e-02 
1.80000000e+00 5.39163271e-01 1.43217796e-01 1.27897201e-01 -1.72444211e-01 -2.11778387e-01 2.38272646e-01 2.61320873e-01 2.72003100e-01 -2.76194819e-01 -2.58008842e-01 2.31912197e-01 1.75397864e-01 1.25091571e-01 -5.35188915e-02 1.44391732e-02 -2.96819754e-02 -3.26563636e-02 -4.12146888e-02 2.50045229e-02 -2.40818186e-02 
1.90000000e+00 5.83191202e-01 1.61668723e-01 1.41128099e-01 -1.86563928e-01 -2.24851324e-01 2.52576290e-01 2.76636122e-01 2.94174234e-01 -3.04840162e-01 -2.98549783e-01 2.80185822e-01 2.30743873e-01 1.78761628e-01 -9.90613023e-02 4.68730402e-02 -1.36796797e-02 -2.71619027e-02 -4.43804205e-02 2.83605461e-02 -2.82038473e-02 
2.00000000e+00 6.26084360e-01 1.79417018e-01 1.52542613e-01 -1.96791231e-01 -2.31522238e-01 2.58189177e-01 2.80964463e-01 3.03947298e-01 -3.20400150e-01 -3.27559170e-01 3.19761067e-01 2.82989923e-01 2.34459622e-01 -1.51964411e-01 8.83835295e-02 1.08444078e-02 -1.61061516e-02 -4.53443424e-02 3.13211416e-02 -3.28909930e-02 
2.10000000e+00 6.67466459e-01 1.96041745e-01 1.61694586e-01 -2.02508671e-01 -2.31086625e-01 2.54216906e-01 2.73187897e-01 2.99539977e-01 -3.20320570e-01 -3.41271036e-01 3.46003738e-01 3.27042787e-01 2.87690883e-01 -2.09404104e-01 1.38122878e-01 4.49657004e-02 2.18195955e-03 -4.26145212e-02 3.31762607e-02 -3.79723656e-02 
2.20000000e+00 7.06987609e-01 2.11142652e-01 1.68203275e-01 -2.03275348e-01 -2.23189438e-01 2.40320726e-01 2.52986540e-01 2.80170355e-01 -3.03179202e-01 -3.36935322e-01 3.54965745e-01 3.57809568e-01 3.33297514e-01 -2.67338686e-01 1.94020083e-01 8.89808174e-02 2.91913858e-02 -3.44292247e-02 3.29430317e-02 -4.31503263e-02 
