#          b = 2
#          n:            1           2           3           4           5
# Eigenvalues: -4.467643459e-01 -9.375747834e-02 1.247934329e-01 5.741011420e-01 1.084147115e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)
1.000000000e-01 2.06751142e-03 -3.81381650e-04 9.60642211e-04 -7.85747019e-04 6.13655484e-04 
2.00000000e-01 8.30330354e-03 -1.09757098e-03 3.42154091e-03 -3.03726268e-03 2.64183046e-03 
3.00000000e-01 1.87163002e-02 -1.53158131e-03 6.65518089e-03 -6.41496295e-03 6.27107076e-03 
4.00000000e-01 3.32605814e-02 -1.11495015e-03 9.84436890e-03 -1.03468667e-02 1.15194605e-02 
5.00000000e-01 5.18358766e-02 6.55045085e-04 1.21328366e-02 -1.40569253e-02 1.81905153e-02 
6.00000000e-01 7.42889747e-02 4.20077917e-03 1.26768779e-02 -1.66126216e-02 2.58410086e-02 
7.00000000e-01 1.00416015e-01 9.85263150e-03 1.06954274e-02 -1.69890069e-02 3.37679686e-02 
8.00000000e-01 1.29965609e-01 1.78405491e-02 5.51614610e-03 -1.41450583e-02 4.10187679e-02 
9.00000000e-01 1.62642712e-01 2.82889646e-02 -3.38464497e-03 -7.10721422e-03 4.64264530e-02 
1.00000000e+00 1.98113174e-01 4.12151058e-02 -1.63499739e-02 4.94571909e-03 4.86703475e-02 
1.10000000e+00 2.36008862e-01 5.65306324e-02 -3.35195184e-02 2.26023737e-02 4.63596914e-02 
1.20000000e+00 2.75933243e-01 7.40464343e-02 -5.48170571e-02 4.61492706e-02 3.81358356e-02 
1.30000000e+00 3.17467330e-01 9.34803407e-02 -7.99484209e-02 7.55172829e-02 2.27864989e-02 
1.40000000e+00 3.60175856e-01 1.14467409e-01 -1.08409788e-01 1.10248539e-01 -6.36004895e-04 
1.50000000e+00 4.03613565e-01 1.36572398e-01 -1.39505691e-01 1.49486929e-01 -3.27016861e-02 
1.60000000e+00 4.47331507e-01 1.59303992e-01 -1.72375674e-01 1.91993890e-01 -7.35044001e-02 
1.70000000e+00 4.90883222e-01 1.82130274e-01 -2.06028200e-01 2.36189515e-01 -1.22587008e-01 
1.80000000e+00 5.33830706e-01 2.04494985e-01 -2.39380106e-01 2.80217390e-01 -1.78898057e-01 
1.90000000e+00 5.75750066e-01 2.25834037e-01 -2.71299748e-01 3.22029988e-01 -2.40785986e-01 
2.00000000e+00 6.16236779e-01 2.45591824e-01 -3.00651878e-01 3.59490087e-01 -3.06034468e-01 
2.10000000e+00 6.54910481e-01 2.63236838e-01 -3.26342300e-01 3.90482587e-01 -3.71939614e-01 
2.20000000e+00 6.91419220e-01 2.78276202e-01 -3.47360444e-01 4.13030334e-01 -4.35426796e-01 
2.30000000e+00 7.25443138e-01 2.90268719e-01 -3.62818169e-01 4.25407267e-01 -4.93201784e-01 
2.40000000e+00 7.56697527e-01 2.98836146e-01 -3.71983339e-01 4.26242204e-01 -5.41928204e-01 
2.50000000e+00 7.84935263e-01 3.03672428e-01 -3.74306997e-01 4.14607137e-01 -5.78421019e-01 
2.60000000e+00 8.09948583e-01 3.04550717e-01 -3.69443282e-01 3.90084720e-01 -5.99844148e-01 
2.70000000e+00 8.31570231e-01 3.01328079e-01 -3.57261569e-01 3.52810826e-01 -6.03899526e-01 
2.80000000e+00 8.49673976e-01 2.93947832e-01 -3.37850646e-01 3.03489466e-01 -5.88994945e-01 
2.90000000e+00 8.64174520e-01 2.82439567e-01 -3.11515074e-01 2.43378941e-01 -5.54378984e-01 
