#          b = 6
#          n:            1
# Eigenvalues: -1.672298612e-01 
#      r             u_1(r)
1.000000000e-01 1.39078005e-04 
2.00000000e-01 5.56080273e-04 
3.00000000e-01 1.25031204e-03 
4.00000000e-01 2.22061698e-03 
5.00000000e-01 3.46537959e-03 
6.00000000e-01 4.98252860e-03 
7.00000000e-01 6.76954122e-03 
8.00000000e-01 8.82344841e-03 
9.00000000e-01 1.11408410e-02 
1.00000000e+00 1.37178770e-02 
1.10000000e+00 1.65502890e-02 
1.20000000e+00 1.96333937e-02 
1.30000000e+00 2.29621008e-02 
1.40000000e+00 2.65309244e-02 
1.50000000e+00 3.03339934e-02 
1.60000000e+00 3.43650639e-02 
1.70000000e+00 3.86175322e-02 
1.80000000e+00 4.30844477e-02 
1.90000000e+00 4.77585278e-02 
2.00000000e+00 5.26321719e-02 
2.10000000e+00 5.76974772e-02 
2.20000000e+00 6.29462545e-02 
2.30000000e+00 6.83700446e-02 
2.40000000e+00 7.39601353e-02 
2.50000000e+00 7.97075785e-02 
2.60000000e+00 8.56032083e-02 
2.70000000e+00 9.16376586e-02 
2.80000000e+00 9.78013819e-02 
2.90000000e+00 1.04084668e-01 
3.00000000e+00 1.10477661e-01 
3.10000000e+00 1.16970382e-01 
3.20000000e+00 1.23552746e-01 
3.30000000e+00 1.30214579e-01 
3.40000000e+00 1.36945641e-01 
3.50000000e+00 1.43735644e-01 
3.60000000e+00 1.50574270e-01 
3.70000000e+00 1.57451191e-01 
3.80000000e+00 1.64356087e-01 
3.90000000e+00 1.71278668e-01 
4.00000000e+00 1.78208687e-01 
4.10000000e+00 1.85135962e-01 
4.20000000e+00 1.92050395e-01 
4.30000000e+00 1.98941985e-01 
4.40000000e+00 2.05800850e-01 
4.50000000e+00 2.12617240e-01 
4.60000000e+00 2.19381556e-01 
4.70000000e+00 2.26084364e-01 
4.80000000e+00 2.32716412e-01 
4.90000000e+00 2.39268643e-01 
5.00000000e+00 2.45732209e-01 
5.10000000e+00 2.52098489e-01 
5.20000000e+00 2.58359095e-01 
5.30000000e+00 2.64505888e-01 
5.40000000e+00 2.70530993e-01 
5.50000000e+00 2.76426802e-01 
5.60000000e+00 2.82185992e-01 
5.70000000e+00 2.87801530e-01 
5.80000000e+00 2.93266682e-01 
5.90000000e+00 2.98575025e-01 
6.00000000e+00 3.03720448e-01 
6.10000000e+00 3.08697165e-01 
6.20000000e+00 3.13499717e-01 
6.30000000e+00 3.18122977e-01 
6.40000000e+00 3.22562157e-01 
6.50000000e+00 3.26812810e-01 
6.60000000e+00 3.30870830e-01 
6.70000000e+00 3.34732462e-01 
6.80000000e+00 3.38394293e-01 
6.90000000e+00 3.41853261e-01 
7.00000000e+00 3.45106651e-01 
7.10000000e+00 3.48152095e-01 
7.20000000e+00 3.50987571e-01 
7.30000000e+00 3.53611399e-01 
7.40000000e+00 3.56022242e-01 
7.50000000e+00 3.58219097e-01 
7.60000000e+00 3.60201297e-01 
7.70000000e+00 3.61968502e-01 
7.80000000e+00 3.63520695e-01 
7.90000000e+00 3.64858178e-01 
8.00000000e+00 3.65981562e-01 
8.10000000e+00 3.66891764e-01 
8.20000000e+00 3.67589998e-01 
8.30000000e+00 3.68077765e-01 
8.40000000e+00 3.68356851e-01 
8.50000000e+00 3.68429312e-01 
8.60000000e+00 3.68297467e-01 
8.70000000e+00 3.67963891e-01 
8.80000000e+00 3.67431405e-01 
8.90000000e+00 3.66703062e-01 
9.00000000e+00 3.65782142e-01 
9.10000000e+00 3.64672138e-01 
9.20000000e+00 3.63376750e-01 
9.30000000e+00 3.61899866e-01 
9.40000000e+00 3.60245563e-01 
9.50000000e+00 3.58418083e-01 
9.60000000e+00 3.56421835e-01 
9.70000000e+00 3.54261371e-01 
9.80000000e+00 3.51941386e-01 
9.90000000e+00 3.49466699e-01 
1.00000000e+01 3.46842247e-01 
