#          b = 6
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -3.299526782e-01 -9.679628167e-02 -4.628056458e-02 -2.566984111e-02 -1.115161880e-03 2.702364899e-02 7.648100378e-02 1.209328951e-01 2.089244998e-01 2.755258772e-01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
1.000000000e-01 7.72340329e-05 -1.82402470e-04 1.38520790e-05 -1.56470644e-06 2.43272950e-06 -3.65320125e-06 3.55901531e-06 3.18273587e-06 7.18903733e-06 -6.67728944e-06 
2.00000000e-01 3.11658463e-04 -7.25225957e-04 6.56571182e-05 -1.43995681e-05 1.79039335e-05 -9.22385672e-06 1.73395719e-05 1.38015380e-05 2.98689926e-05 -2.75505217e-05 
3.00000000e-01 7.07250847e-04 -1.62097506e-03 1.70092636e-04 -5.06246792e-05 5.89762668e-05 -7.72565289e-06 4.67007912e-05 3.38803013e-05 6.97948170e-05 -6.38536680e-05 
4.00000000e-01 1.26784159e-03 -2.86094807e-03 3.40846412e-04 -1.22133561e-04 1.38466286e-04 1.09332524e-05 9.79236077e-05 6.60534063e-05 1.28855885e-04 -1.16786994e-04 
5.00000000e-01 1.99710675e-03 -4.43526478e-03 5.90543941e-04 -2.40464370e-04 2.69253538e-04 5.78100287e-05 1.78172065e-04 1.13625065e-04 2.09102300e-04 -1.87524757e-04 
6.00000000e-01 2.89856102e-03 -6.33289810e-03 9.30682343e-04 -4.16675171e-04 4.64087671e-04 1.44767637e-04 2.95432862e-04 1.80618305e-04 3.12771767e-04 -2.77226680e-04 
7.00000000e-01 3.97555095e-03 -8.54170926e-03 1.37157102e-03 -6.61224170e-04 7.35395560e-04 2.84297831e-04 4.58433097e-04 2.71811508e-04 4.42316092e-04 -3.87053252e-04 
8.00000000e-01 5.23124841e-03 -1.10484866e-02 1.92227934e-03 -9.83855739e-04 1.09509044e-03 4.89328792e-04 6.76536540e-04 3.92760517e-04 6.00426206e-04 -5.18184839e-04 
9.00000000e-01 6.66864431e-03 -1.38389878e-02 2.59059156e-03 -1.39349307e-03 1.55438497e-03 7.73019721e-04 9.59619085e-04 5.49804532e-04 7.90054594e-04 -6.71844428e-04 
1.00000000e+00 8.29054251e-03 -1.68979854e-02 3.38296916e-03 -1.89813818e-03 2.12361028e-03 1.14854486e-03 1.31792445e-03 7.50054166e-04 1.01443386e-03 -8.49323767e-04 
