#          b = 6
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -3.869926735e-01 -1.076282816e-01 -5.007968789e-02 -2.887892340e-02 -1.702811709e-02 -4.250039853e-03 1.458450095e-02 3.555596714e-02 6.422881007e-02 9.302255782e-02 1.321462639e-01 1.691530403e-01 2.204402521e-01 2.666640785e-01 3.333862658e-01 3.906830884e-01 4.795714215e-01 5.515406904e-01 6.809560642e-01 7.765237266e-01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
1.000000000e-01 -6.52024526e-05 -1.93589385e-04 -9.27474143e-06 -1.02811322e-05 9.54877998e-06 -1.27113886e-05 1.03147763e-05 -9.98707191e-06 -4.41068685e-06 2.34098086e-06 2.06268087e-06 -3.18935226e-06 -5.38132567e-06 -5.55037217e-06 6.32064806e-06 -6.18679945e-06 6.10287604e-06 -6.03475935e-06 5.24466083e-06 -5.46423338e-06 
2.00000000e-01 -2.63282958e-04 -7.71943044e-04 -2.45405901e-05 -3.39258554e-05 3.19178764e-05 -4.47775519e-05 3.60481063e-05 -3.70747931e-05 -1.58888958e-05 9.04413765e-06 8.69528983e-06 -1.29700257e-05 -2.21775117e-05 -2.28662511e-05 2.61572990e-05 -2.56034914e-05 2.52923183e-05 -2.50056804e-05 2.17452912e-05 -2.26534572e-05 
3.00000000e-01 -5.97872339e-04 -1.73048402e-03 -2.74104400e-05 -5.99463670e-05 5.72771523e-05 -8.62578498e-05 6.82654248e-05 -7.56714055e-05 -3.07461309e-05 1.89140543e-05 2.09339814e-05 -2.97635323e-05 -5.13581766e-05 -5.28675025e-05 6.07336770e-05 -5.94302508e-05 5.87835968e-05 -5.80943608e-05 5.05418485e-05 -5.26363264e-05 
4.00000000e-01 -1.07249117e-03 -3.06337170e-03 -1.79003013e-07 -7.71978370e-05 7.53549413e-05 -1.26222759e-04 9.66555457e-05 -1.18504771e-04 -4.38461169e-05 2.96983433e-05 4.03967925e-05 -5.41945934e-05 -9.39084594e-05 -9.63748488e-05 1.11147431e-04 -1.08694679e-04 1.07635686e-04 -1.06307970e-04 9.25120712e-05 -9.62958766e-05 
5.00000000e-01 -1.69054356e-03 -4.76351761e-03 7.40794836e-05 -7.44983285e-05 7.55797870e-05 -1.52926829e-04 1.09694697e-04 -1.56687778e-04 -4.85858746e-05 3.79752232e-05 6.93918665e-05 -8.71807745e-05 -1.50870146e-04 -1.54121024e-04 1.78363685e-04 -1.74257804e-04 1.72735148e-04 -1.70461361e-04 1.48354849e-04 -1.54311008e-04 
6.00000000e-01 -2.45531110e-03 -6.82260503e-03 2.11418510e-04 -4.07478376e-05 4.72248546e-05 -1.53993466e-04 9.48342775e-05 -1.79819391e-04 -3.69118707e-05 3.90637217e-05 1.11018045e-04 -1.30028128e-04 -2.23391066e-04 -2.26769991e-04 2.63213842e-04 -2.56804083e-04 2.54783579e-04 -2.51162966e-04 2.18577252e-04 -2.27142282e-04 
7.00000000e-01 -3.36994695e-03 -9.23111248e-03 4.26931946e-04 3.49544009e-05 -2.04463555e-05 -1.16609357e-04 3.87098336e-05 -1.76120378e-04 6.27500775e-07 2.69603597e-05 1.69253920e-04 -1.84530257e-04 -3.12781964e-04 -3.14944653e-04 3.66400210e-04 -3.56835943e-04 3.54288970e-04 -3.48804813e-04 3.03485519e-04 -3.15022364e-04 
8.00000000e-01 -4.43747010e-03 -1.19783410e-02 7.34672500e-04 1.63195176e-04 -1.38034364e-04 -2.77262830e-05 -7.26315577e-05 -1.32602194e-04 7.47925049e-05 -5.69423099e-06 2.49031448e-04 -2.53067826e-04 -4.20579698e-04 -4.19263274e-04 4.88506956e-04 -4.74673354e-04 4.71561329e-04 -4.63556922e-04 4.03180233e-04 -4.17951367e-04 
9.00000000e-01 -5.66075980e-03 -1.50524451e-02 1.14757637e-03 3.54135945e-04 -3.15859500e-04 1.25732035e-04 -2.53488535e-04 -3.52669678e-05 1.97525802e-04 -6.76157952e-05 3.56290313e-04 -3.38705253e-04 -5.48615246e-04 -5.40384552e-04 6.30017765e-04 -6.10458908e-04 6.06712820e-04 -5.95366291e-04 5.17555834e-04 -5.35697213e-04 
1.00000000e+00 -7.04255022e-03 -1.84404672e-02 1.67739440e-03 6.17405633e-04 -5.63820470e-04 3.56660435e-04 -5.18250602e-04 1.30664017e-04 3.81790114e-04 -1.68841659e-04 4.98009440e-04 -4.45281019e-04 -6.99084635e-04 -6.79061015e-04 7.91340438e-04 -7.64168799e-04 7.59662633e-04 -7.43960587e-04 6.46304507e-04 -6.67801067e-04 
1.10000000e+00 -8.58542525e-03 -2.21283758e-02 2.33463013e-03 9.61998352e-04 -8.91256998e-04 6.77562578e-04 -8.81134622e-04 3.80496407e-04 6.41371288e-04 -3.20658905e-04 6.82212341e-04 -5.77487900e-04 -8.74620581e-04 -8.36200072e-04 9.72838542e-04 -9.35630062e-04 9.30146753e-04 -9.08856586e-04 7.88924437e-04 -8.13587737e-04 
1.20000000e+00 -1.02918136e-02 -2.61011066e-02 3.12848491e-03 1.39617673e-03 -1.30681784e-03 1.10034337e-03 -1.35591622e-03 7.29786943e-04 9.90648926e-04 -5.35494460e-04 9.17943375e-04 -7.40939282e-04 -1.07836231e-03 -1.01293173e-03 1.17486998e-03 -1.12454432e-03 1.11773271e-03 -1.08937334e-03 9.44732309e-04 -9.72180875e-04 
1.30000000e+00 -1.21639841e-02 -3.03426074e-02 4.06681038e-03 1.92738153e-03 -1.81833532e-03 1.63610596e-03 -1.95565979e-03 1.19404963e-03 1.44433740e-03 -8.26766817e-04 1.21521248e-03 -9.42217758e-04 -1.31402078e-03 -1.21068167e-03 1.39783217e-03 -1.33051817e-03 1.32183934e-03 -1.28464996e-03 1.11287985e-03 -1.14252268e-03 
1.40000000e+00 -1.42040409e-02 -3.48358855e-02 5.15606850e-03 2.56214816e-03 -2.43270769e-03 2.29495557e-03 -2.69245070e-03 1.78844815e-03 2.01720071e-03 -1.20869985e-03 1.58490654e-03 -1.18890228e-03 -1.58593625e-03 -1.43124788e-03 1.64221334e-03 -1.55310038e-03 1.54176150e-03 -1.49366790e-03 1.29237417e-03 -1.32339769e-03 
