#          b = 6
#          n:            1           2           3           4           5
# Eigenvalues: -2.714335492e-01 -8.424419410e-02 -4.155384353e-02 1.999329038e-03 4.551665738e-02 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)
1.000000000e-01 9.38734324e-05 1.59237599e-04 3.40195608e-05 -2.53583855e-05 7.86338909e-06 
2.00000000e-01 3.78413596e-04 6.30032812e-04 1.43434325e-04 -1.09336577e-04 3.69709476e-05 
3.00000000e-01 8.57849879e-04 1.40120250e-03 3.38366687e-04 -2.63353825e-04 9.61222368e-05 
4.00000000e-01 1.53620422e-03 2.46052115e-03 6.27684845e-04 -4.98122370e-04 1.94723211e-04 
5.00000000e-01 2.41728273e-03 3.79476526e-03 1.01896098e-03 -8.23494645e-04 3.42660379e-04 
6.00000000e-01 3.50466766e-03 5.38976093e-03 1.51843726e-03 -1.24831820e-03 5.50162421e-04 
7.00000000e-01 4.80170965e-03 7.23043451e-03 2.13099974e-03 -1.78029970e-03 8.27650696e-04 
8.00000000e-01 6.31152038e-03 9.30086604e-03 2.86016031e-03 -2.42587916e-03 1.18558022e-03 
9.00000000e-01 8.03696554e-03 1.15843455e-02 3.70804667e-03 -3.19011565e-03 1.63427286e-03 
1.00000000e+00 9.98065820e-03 1.40634314e-02 4.67540031e-03 -4.07658553e-03 2.18374451e-03 
1.10000000e+00 1.21449525e-02 1.67200118e-02 5.76158256e-03 -5.08729409e-03 2.84352829e-03 
1.20000000e+00 1.45319379e-02 1.95353674e-02 6.96458844e-03 -6.22260156e-03 3.62249569e-03 
1.30000000e+00 1.71434334e-02 2.24902366e-02 8.28106842e-03 -7.48116407e-03 4.52867784e-03 
1.40000000e+00 1.99809830e-02 2.55648820e-02 9.70635771e-03 -8.85989039e-03 5.56908888e-03 
1.50000000e+00 2.30458505e-02 2.87391583e-02 1.12345129e-02 -1.03539147e-02 6.74955369e-03 
1.60000000e+00 2.63390154e-02 3.19925821e-02 1.28583561e-02 -1.19565858e-02 8.07454215e-03 
1.70000000e+00 2.98611694e-02 3.53044019e-02 1.45695254e-02 -1.36594733e-02 9.54701179e-03 
1.80000000e+00 3.36127127e-02 3.86536691e-02 1.63585324e-02 -1.54523901e-02 1.11682612e-02 
1.90000000e+00 3.75937513e-02 4.20193097e-02 1.82148258e-02 -1.73234318e-02 1.29377961e-02 
2.00000000e+00 4.18040943e-02 4.53801961e-02 2.01268609e-02 -1.92590331e-02 1.48532093e-02 
2.10000000e+00 4.62432517e-02 4.87152189e-02 2.20821747e-02 -2.12440395e-02 1.69100782e-02 
2.20000000e+00 5.09104335e-02 5.20033590e-02 2.40674655e-02 -2.32617953e-02 1.91018786e-02 
2.30000000e+00 5.58045477e-02 5.52237582e-02 2.60686777e-02 -2.52942466e-02 2.14199193e-02 
2.40000000e+00 6.09242002e-02 5.83557905e-02 2.80710907e-02 -2.73220588e-02 2.38532963e-02 
2.50000000e+00 6.62676941e-02 6.13791311e-02 3.00594107e-02 -2.93247474e-02 2.63888700e-02 
2.60000000e+00 7.18330303e-02 6.42738255e-02 3.20178668e-02 -3.12808216e-02 2.90112640e-02 
2.70000000e+00 7.76179078e-02 6.70203566e-02 3.39303084e-02 -3.31679397e-02 3.17028884e-02 
2.80000000e+00 8.36197251e-02 6.95997101e-02 3.57803059e-02 -3.49630742e-02 3.44439866e-02 
2.90000000e+00 8.98355816e-02 7.19934383e-02 3.75512520e-02 -3.66426871e-02 3.72127065e-02 
3.00000000e+00 9.62622793e-02 7.41837223e-02 3.92264644e-02 -3.81829121e-02 3.99851963e-02 
3.10000000e+00 1.02896326e-01 7.61534314e-02 4.07892891e-02 -3.95597439e-02 4.27357239e-02 
3.20000000e+00 1.09733937e-01 7.78861802e-02 4.22232034e-02 -4.07492323e-02 4.54368206e-02 
3.30000000e+00 1.16771040e-01 7.93663835e-02 4.35119179e-02 -4.17276795e-02 4.80594474e-02 
3.40000000e+00 1.24003276e-01 8.05793080e-02 4.46394783e-02 -4.24718406e-02 5.05731836e-02 
3.50000000e+00 1.31426008e-01 8.15111216e-02 4.55903644e-02 -4.29591229e-02 5.29464359e-02 
3.60000000e+00 1.39034322e-01 8.21489388e-02 4.63495878e-02 -4.31677853e-02 5.51466679e-02 
3.70000000e+00 1.46823030e-01 8.24808639e-02 4.69027864e-02 -4.30771350e-02 5.71406465e-02 
3.80000000e+00 1.54786683e-01 8.24960301e-02 4.72363156e-02 -4.26677191e-02 5.88947053e-02 
3.90000000e+00 1.62919569e-01 8.21846354e-02 4.73373364e-02 -4.19215116e-02 6.03750215e-02 
4.00000000e+00 1.71215722e-01 8.15379753e-02 4.71938987e-02 -4.08220928e-02 6.15479053e-02 
4.10000000e+00 1.79668932e-01 8.05484706e-02 4.67950208e-02 -3.93548193e-02 6.23800985e-02 
4.20000000e+00 1.88272745e-01 7.92096931e-02 4.61307633e-02 -3.75069853e-02 6.28390805e-02 
4.30000000e+00 1.97020475e-01 7.75163866e-02 4.51922980e-02 -3.52679720e-02 6.28933793e-02 
4.40000000e+00 2.05905213e-01 7.54644834e-02 4.39719715e-02 -3.26293835e-02 6.25128835e-02 
4.50000000e+00 2.14919830e-01 7.30511185e-02 4.24633624e-02 -2.95851709e-02 6.16691547e-02 
4.60000000e+00 2.24056990e-01 7.02746383e-02 4.06613320e-02 -2.61317400e-02 6.03357351e-02 
4.70000000e+00 2.33309155e-01 6.71346062e-02 3.85620698e-02 -2.22680438e-02 5.84884498e-02 
4.80000000e+00 2.42668598e-01 6.36318040e-02 3.61631306e-02 -1.79956592e-02 5.61056995e-02 
4.90000000e+00 2.52127409e-01 5.97682295e-02 3.34634662e-02 -1.33188450e-02 5.31687409e-02 
5.00000000e+00 2.61677505e-01 5.55470895e-02 3.04634492e-02 -8.24458339e-03 4.96619530e-02 
5.10000000e+00 2.71310642e-01 5.09727901e-02 2.71648900e-02 -2.78260252e-03 4.55730857e-02 
5.20000000e+00 2.81018423e-01 4.60509221e-02 2.35710471e-02 3.05461964e-03 4.08934891e-02 
5.30000000e+00 2.90792309e-01 4.07882432e-02 1.96866288e-02 9.25187003e-03 3.56183196e-02 
5.40000000e+00 3.00623632e-01 3.51926560e-02 1.55177895e-02 1.57912343e-02 2.97467225e-02 
5.50000000e+00 3.10503602e-01 2.92731834e-02 1.10721173e-02 2.26521494e-02 2.32819874e-02 
5.60000000e+00 3.20423320e-01 2.30399390e-02 6.35861532e-03 2.98114748e-02 1.62316752e-02 
5.70000000e+00 3.30373789e-01 1.65040957e-02 1.38767584e-03 3.72435823e-02 8.60771520e-03 
5.80000000e+00 3.40345928e-01 9.67784965e-03 -3.82895255e-03 4.49204629e-02 4.26470406e-04 
5.90000000e+00 3.50330579e-01 2.57438218e-03 -9.27820434e-03 5.28118522e-02 -8.29123023e-03 
6.00000000e+00 3.60318523e-01 -4.79218210e-03 -1.49457431e-02 6.08853711e-02 -1.75200930e-02 
6.10000000e+00 3.70300488e-01 -1.24068195e-02 -2.08160134e-02 6.91066827e-02 -2.72303951e-02 
6.20000000e+00 3.80267168e-01 -2.02536544e-02 -2.68722993e-02 7.74396644e-02 -3.73880556e-02 
6.30000000e+00 3.90209225e-01 -2.83160088e-02 -3.30967881e-02 8.58465931e-02 -4.79547410e-02 
6.40000000e+00 4.00117311e-01 -3.65764540e-02 -3.94706390e-02 9.42883431e-02 -5.88880057e-02 
6.50000000e+00 4.09982075e-01 -4.50168649e-02 -4.59740582e-02 1.02724596e-01 -7.01414673e-02 
6.60000000e+00 4.19794177e-01 -5.36184759e-02 -5.25863770e-02 1.11114058e-01 -8.16650147e-02 
6.70000000e+00 4.29544298e-01 -6.23619384e-02 -5.92861352e-02 1.19414693e-01 -9.34050501e-02 
6.80000000e+00 4.39223159e-01 -7.12273803e-02 -6.60511680e-02 1.27583951e-01 -1.05304761e-01 
6.90000000e+00 4.48821524e-01 -8.01944665e-02 -7.28586968e-02 1.35579014e-01 -1.17304424e-01 
7.00000000e+00 4.58330221e-01 -8.92424608e-02 -7.96854218e-02 1.43357040e-01 -1.29341733e-01 
7.10000000e+00 4.67740150e-01 -9.83502883e-02 -8.65076189e-02 1.50875409e-01 -1.41352159e-01 
