# 3D harmonic oscillator
# eigenvalue = 1.500000e+00

#log10(N)              log10(error)
3.0102999566398120e-01 -5.2248071426897080e-02
6.0205999132796240e-01 -9.9059071783431651e-01
9.0308998699194354e-01 -1.4459378324513406e+00
1.2041199826559248e+00 -2.0616011033119248e+00
1.5051499783199060e+00 -2.6667814469514868e+00
1.8061799739838871e+00 -3.2696572232060785e+00
2.1072099696478683e+00 -3.8721258554196747e+00
2.4082399653118496e+00 -4.4751116090071701e+00
2.7092699609758308e+00 -5.0807152141233907e+00
3.0102999566398121e+00 -5.6972004716850746e+00
