# 3D harmonic oscillator
# eigenvalue = 1.498242e+00

#   r       u(r)
0.000000 0.000000
0.150000 5.171486e-02
0.300000 1.016929e-01
0.450000 1.482944e-01
0.600000 1.900657e-01
0.750000 2.258146e-01
0.900000 2.546658e-01
1.050000 2.760923e-01
1.200000 2.899239e-01
1.350000 2.963304e-01
1.500000 2.957853e-01
1.650000 2.890127e-01
1.800000 2.769233e-01
1.950000 2.605456e-01
2.100000 2.409576e-01
2.250000 2.192241e-01
2.400000 1.963432e-01
2.550000 1.732050e-01
2.700000 1.505632e-01
2.850000 1.290199e-01
3.000000 1.090221e-01
3.150000 9.086832e-02
3.300000 7.472308e-02
3.450000 6.063614e-02
3.600000 4.856481e-02
3.750000 3.839671e-02
3.900000 2.997148e-02
4.050000 2.310015e-02
4.200000 1.758142e-02
4.350000 1.321452e-02
4.500000 9.808701e-03
4.650000 7.189496e-03
4.800000 5.202364e-03
4.950000 3.714084e-03
5.100000 2.612500e-03
5.250000 1.805072e-03
5.400000 1.216651e-03
5.550000 7.867782e-04
5.700000 4.667025e-04
5.850000 2.161870e-04
