# omega0=1, alpha=0.2
# theta0=-0.79, theta_dot0=0.1234
# t_start=0, t_end=200, h=0.0116355
#   t          x(t)                 v(t)       
0  -7.900000000000000e-01  1.234000000000000e-01
1.163552834662887e-01 -7.650239481574959e-01 3.048234931634667e-01
2.327105669325774e-01 -7.193565934661441e-01 4.787104825041383e-01
3.490658503988658e-01 -6.539971096129292e-01 6.429479610904896e-01
4.654211338651543e-01 -5.701949359042798e-01 7.953454582952838e-01
5.817764173314427e-01 -4.694583666548778e-01 9.336513647277364e-01
6.981317007977311e-01 -3.535580120515425e-01 1.055625100419076e+00
8.144869842640196e-01 -2.245187033010851e-01 1.159162201152010e+00
9.308422677303080e-01 -8.459439389985567e-02 1.242458146546804e+00
1.047197551196597e+00 6.377706141394791e-02 1.304185306089531e+00
1.163552834662887e+00 2.180388714754488e-01 1.343649452136759e+00
1.279908118129176e+00 3.755956168897077e-01 1.360891743422230e+00
1.396263401595466e+00 5.339009551240397e-01 1.356710866891256e+00
1.512618685061755e+00 6.905427379498934e-01 1.332596583897707e+00
1.628973968528045e+00 8.433156687190780e-01 1.290585301366684e+00
1.745329251994334e+00 9.902738492918335e-01 1.233064182745594e+00
1.861684535460624e+00 1.129759190697410e+00 1.162557988641674e+00
1.978039818926913e+00 1.260405623051894e+00 1.081531079790107e+00
2.094395102393201e+00 1.381122346879418e+00 9.922281179467990e-01
2.210750385859488e+00 1.491061422188775e+00 8.965650979293815e-01
2.327105669325776e+00 1.589575682394798e+00 7.960713596332299e-01
2.443460952792063e+00 1.676172551165833e+00 6.918755531675409e-01
2.559816236258350e+00 1.750468268035667e+00 5.847247818074057e-01
2.676171519724638e+00 1.812145721505016e+00 4.750256868605380e-01
2.792526803190925e+00 1.860917862880844e+00 3.628978977650073e-01
2.908882086657212e+00 1.896497708836002e+00 2.482329173064888e-01
3.025237370123500e+00 1.918575299258449e+00 1.307543262651048e-01
3.141592653589787e+00 1.926801648776580e+00 1.007771034164721e-02
3.257947937056074e+00 1.920779667723685e+00 -1.142292576959392e-01
3.374303220522362e+00 1.900062170926711e+00 -2.425846517429893e-01
3.490658503988649e+00 1.864157377722310e+00 -3.753251668558423e-01
3.607013787454936e+00 1.812542666430035e+00 -5.126308422690714e-01
3.723369070921223e+00 1.744687697203090e+00 -6.544389634230908e-01
3.839724354387511e+00 1.660088240751294e+00 -8.003462119306587e-01
3.956079637853798e+00 1.558311976571214e+00 -9.495015973975819e-01
4.072434921320085e+00 1.439056921979327e+00 -1.100498389636648e+00
4.188790204786373e+00 1.302221751085704e+00 -1.251281293429187e+00
4.305145488252660e+00 1.147984825721082e+00 -1.399094608687350e+00
4.421500771718947e+00 9.768852471005289e-01 -1.540505504070213e+00
4.537856055185235e+00 7.898950341496065e-01 -1.671539036821334e+00
4.654211338651522e+00 5.884676825212580e-01 -1.787951973260835e+00
4.770566622117809e+00 3.745465776685861e-01 -1.885645990391760e+00
4.886921905584097e+00 1.505189981300482e-01 -1.961178816917089e+00
5.003277189050384e+00 -8.089100927489380e-02 -2.012285952664838e+00
5.119632472516671e+00 -3.167854700263324e-01 -2.038296545537883e+00
5.235987755982959e+00 -5.542921221161529e-01 -2.040335015294413e+00
5.352343039449246e+00 -7.907718947819391e-01 -2.021250500889165e+00
5.468698322915533e+00 -1.024002830185228e+00 -1.985291917664569e+00
5.585053606381821e+00 -1.252315342678091e+00 -1.937614968066819e+00
5.701408889848108e+00 -1.474666111011673e+00 -1.883740597253339e+00
5.817764173314395e+00 -1.690651588134268e+00 -1.829074031637023e+00
5.934119456780683e+00 -1.900472631725973e+00 -1.778552821836974e+00
6.050474740246970e+00 -2.104866860829411e+00 -1.736443636386511e+00
6.166830023713257e+00 -2.305025243479675e+00 -1.706268967501374e+00
6.283185307179544e+00 -2.502505824096179e+00 -1.690823728008033e+00
6.399540590645832e+00 -2.699152389589414e+00 -1.692236061602468e+00
6.515895874112119e+00 -2.897020720942625e+00 -1.712030530034298e+00
6.632251157578406e+00 -3.098310633666460e+00 -1.751159385840459e+00
6.748606441044694e+00 -3.305298483535890e+00 -1.809975532617147e+00
6.864961724510981e+00 -3.520262191549755e+00 -1.888128593320207e+00
6.981317007977268e+00 -3.745389221715589e+00 -1.984375480816754e+00
7.097672291443556e+00 -3.982657811639853e+00 -2.096313283717097e+00
7.214027574909843e+00 -4.233684156687681e+00 -2.220070210980522e+00
7.330382858376130e+00 -4.499534728940377e+00 -2.350032527302780e+00
7.446738141842418e+00 -4.780514925007816e+00 -2.478736269359322e+00
7.563093425308705e+00 -5.075962715823848e+00 -2.597090342971191e+00
7.679448708774992e+00 -5.384095193969198e+00 -2.695081864648821e+00
7.795803992241280e+00 -5.701967986593468e+00 -2.763001834468136e+00
7.912159275707567e+00 -6.025600243209074e+00 -2.793015107523555e+00
8.028514559173855e+00 -6.350283286642305e+00 -2.780663832422649e+00
8.144869842640142e+00 -6.671035246102009e+00 -2.725792197025839e+00
8.261225126106430e+00 -6.983110641581706e+00 -2.632532455157040e+00
8.377580409572717e+00 -7.282451818653909e+00 -2.508353621840418e+00
8.493935693039004e+00 -7.565991534553858e+00 -2.362535846796806e+00
8.610290976505292e+00 -7.831769708174924e+00 -2.204585791794339e+00
8.726646259971579e+00 -8.078883461547976e+00 -2.043006469838055e+00
8.843001543437866e+00 -8.307324438499931e+00 -1.884598960397637e+00
8.959356826904154e+00 -8.517764730663414e+00 -1.734258081918464e+00
9.075712110370441e+00 -8.711340651225845e+00 -1.595110846295551e+00
9.192067393836728e+00 -8.889464353437209e+00 -1.468831171635052e+00
9.308422677303016e+00 -9.053675870164525e+00 -1.356003027776855e+00
9.424777960769303e+00 -9.205536301695462e+00 -1.256455874967099e+00
9.541133244235590e+00 -9.346556627985823e+00 -1.169538656907257e+00
9.657488527701878e+00 -9.478154413274208e+00 -1.094325602329130e+00
9.773843811168165e+00 -9.601630794126322e+00 -1.029760860169967e+00
9.890199094634452e+00 -9.718161316906659e+00 -9.747540561915724e-01
