# omega0=1, alpha=4
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  8.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 7.973503159490550e-01 -5.476115134953553e-02
1.823856402664613e-01 7.905271509783433e-01 -9.251808991782925e-02
2.735784603996920e-01 7.808394568797434e-01 -1.182810972713706e-01
3.647712805329227e-01 7.692104990119377e-01 -1.355841606715957e-01
4.559641006661534e-01 7.562915164010974e-01 -1.469197485902919e-01
5.471569207993838e-01 7.425418843844118e-01 -1.540459655048070e-01
6.383497409326140e-01 7.282856278061103e-01 -1.582032689132408e-01
7.295425610658441e-01 7.137512548171234e-01 -1.602672561665775e-01
8.207353811990743e-01 6.990998343179790e-01 -1.608563327700658e-01
9.119282013323045e-01 6.844447896384067e-01 -1.604075711314698e-01
1.003121021465535e+00 6.698658559398407e-01 -1.592301564223418e-01
1.094313841598765e+00 6.554189255450048e-01 -1.575430452633884e-01
1.185506661731995e+00 6.411429956131557e-01 -1.555015053791242e-01
1.276699481865225e+00 6.270650734932265e-01 -1.532158237204579e-01
1.367892301998455e+00 6.132036422306988e-01 -1.507644978082174e-01
1.459085122131685e+00 5.995711106694096e-01 -1.482035401052238e-01
1.550277942264916e+00 5.861755472311739e-01 -1.455730430726130e-01
1.641470762398146e+00 5.730219081760050e-01 -1.429018131957007e-01
1.732663582531376e+00 5.601129089641581e-01 -1.402106433799100e-01
1.823856402664606e+00 5.474496435318114e-01 -1.375146249390832e-01
1.915049222797836e+00 5.350320254182622e-01 -1.348247819728483e-01
2.006242042931067e+00 5.228591029184763e-01 -1.321492275164742e-01
2.097434863064297e+00 5.109292850881405e-01 -1.294939820776384e-01
2.188627683197527e+00 4.992405046037360e-01 -1.268635537562412e-01
2.279820503330757e+00 4.877903358429203e-01 -1.242613499443476e-01
2.371013323463987e+00 4.765760811606755e-01 -1.216899700123172e-01
2.462206143597217e+00 4.655948345319152e-01 -1.191514138621459e-01
2.553398963730448e+00 4.548435290447545e-01 -1.166472309800154e-01
2.644591783863678e+00 4.443189728313341e-01 -1.141786273862160e-01
2.735784603996908e+00 4.340178766828383e-01 -1.117465427735841e-01
2.826977424130138e+00 4.239368756484373e-01 -1.093517065192142e-01
2.918170244263368e+00 4.140725462487551e-01 -1.069946787069625e-01
3.009363064396598e+00 4.044214204615577e-01 -1.046758804987568e-01
3.100555884529828e+00 3.949799973030866e-01 -1.023956169212743e-01
3.191748704663059e+00 3.857447525921430e-01 -1.001540942360753e-01
3.282941524796289e+00 3.767121473169409e-01 -9.795143342633500e-02
3.374134344929519e+00 3.678786349065726e-01 -9.578768088458678e-02
3.465327165062749e+00 3.592406676253395e-01 -9.366281706877927e-02
3.556519985195979e+00 3.507947022490301e-01 -9.157676366987173e-02
3.647712805329209e+00 3.425372051403306e-01 -8.952938967588650e-02
3.738905625462440e+00 3.344646568108379e-01 -8.752051660552336e-02
3.830098445595670e+00 3.265735560360545e-01 -8.554992310549672e-02
3.921291265728900e+00 3.188604235747219e-01 -8.361734905004357e-02
4.012484085862130e+00 3.113218055331218e-01 -8.172249924175320e-02
4.103676905995361e+00 3.039542764072671e-01 -7.986504678516995e-02
4.194869726128591e+00 2.967544418303330e-01 -7.804463618510758e-02
4.286062546261821e+00 2.897189410486038e-01 -7.626088620787794e-02
4.377255366395051e+00 2.828444491461919e-01 -7.451339253397161e-02
4.468448186528281e+00 2.761276790365144e-01 -7.280173022392998e-02
4.559641006661511e+00 2.695653832367592e-01 -7.112545601436408e-02
4.650833826794742e+00 2.631543554401884e-01 -6.948411045770564e-02
4.742026646927972e+00 2.568914319000047e-01 -6.787721991689338e-02
4.833219467061202e+00 2.507734926375643e-01 -6.630429842450626e-02
4.924412287194432e+00 2.447974624869113e-01 -6.476484941464331e-02
5.015605107327662e+00 2.389603119868963e-01 -6.325836733496903e-02
5.106797927460892e+00 2.332590581314910e-01 -6.178433914569126e-02
5.197990747594122e+00 2.276907649883238e-01 -6.034224571174217e-02
5.289183567727353e+00 2.222525441949026e-01 -5.893156309404381e-02
5.380376387860583e+00 2.169415553414722e-01 -5.755176374541975e-02
5.471569207993813e+00 2.117550062489602e-01 -5.620231761644438e-02
5.562762028127043e+00 2.066901531499893e-01 -5.488269317628076e-02
5.653954848260273e+00 2.017443007804897e-01 -5.359235835333997e-02
5.745147668393503e+00 1.969148023890090e-01 -5.233078140038875e-02
5.836340488526734e+00 1.921990596704061e-01 -5.109743168853671e-02
5.927533308659964e+00 1.875945226302201e-01 -4.989178043434411e-02
6.018726128793194e+00 1.830986893856274e-01 -4.871330136410625e-02
6.109918948926424e+00 1.787091059085368e-01 -4.756147131918918e-02
6.201111769059654e+00 1.744233657160294e-01 -4.643577080611359e-02
6.292304589192884e+00 1.702391095130196e-01 -4.533568449490960e-02
6.383497409326115e+00 1.661540247916998e-01 -4.426070166909445e-02
6.474690229459345e+00 1.621658453920356e-01 -4.321031663045870e-02
6.565883049592575e+00 1.582723510272915e-01 -4.218402906168369e-02
6.657075869725805e+00 1.544713667783023e-01 -4.118134434965539e-02
6.748268689859035e+00 1.507607625599491e-01 -4.020177387218667e-02
6.839461509992265e+00 1.471384525630580e-01 -3.924483525071147e-02
6.930654330125495e+00 1.436023946747156e-01 -3.831005257137200e-02
7.021847150258726e+00 1.401505898797749e-01 -3.739695657678180e-02
7.113039970391956e+00 1.367810816461301e-01 -3.650508483061605e-02
7.204232790525186e+00 1.334919552961427e-01 -3.563398185705319e-02
7.295425610658416e+00 1.302813373664260e-01 -3.478319925697101e-02
7.386618430791646e+00 1.271473949580244e-01 -3.395229580268475e-02
7.477811250924876e+00 1.240883350788679e-01 -3.314083751290409e-02
7.569004071058107e+00 1.211024039802329e-01 -3.234839770948129e-02
7.660196891191337e+00 1.181878864888019e-01 -3.157455705742272e-02
7.751389711324567e+00 1.153431053357846e-01 -3.081890358954146e-02
7.842582531457797e+00 1.125664204844419e-01 -3.008103271703916e-02
7.933775351591027e+00 1.098562284572413e-01 -2.936054722722008e-02
8.024968171724257e+00 1.072109616637632e-01 -2.865705726946027e-02
8.116160991857488e+00 1.046290877303833e-01 -2.797018033047929e-02
8.207353811990718e+00 1.021091088326598e-01 -2.729954119988983e-02
8.298546632123948e+00 9.964956103127097e-02 -2.664477192693399e-02
8.389739452257178e+00 9.724901361226773e-02 -2.600551176925116e-02
8.480932272390408e+00 9.490606843233125e-02 -2.538140713446300e-02
8.572125092523638e+00 9.261935926965732e-02 -2.477211151530500e-02
8.663317912656868e+00 9.038755118102440e-02 -2.417728541898177e-02
8.754510732790099e+00 8.820933986554365e-02 -2.359659629137351e-02
8.845703552923329e+00 8.608345103553298e-02 -2.302971843667520e-02
8.936896373056559e+00 8.400863979490723e-02 -2.247633293300681e-02
9.028089193189789e+00 8.198369002542862e-02 -2.193612754449193e-02
9.119282013323019e+00 8.000741378111861e-02 -2.140879663026486e-02
9.210474833456249e+00 7.807865069109128e-02 -2.089404105083030e-02
9.301667653589480e+00 7.619626737103183e-02 -2.039156807216701e-02
9.392860473722710e+00 7.435915684350923e-02 -1.990109126793581e-02
9.484053293855940e+00 7.256623796728043e-02 -1.942233042012344e-02
9.575246113989170e+00 7.081645487571492e-02 -1.895501141842698e-02
9.666438934122400e+00 6.910877642444130e-02 -1.849886615865848e-02
9.757631754255630e+00 6.744219564829348e-02 -1.805363244042620e-02
9.848824574388860e+00 6.581572922761172e-02 -1.761905386432696e-02
9.940017394522091e+00 6.422841696393286e-02 -1.719487972886420e-02
1.003121021465532e+01 6.267932126508619e-02 -1.678086492728741e-02
1.012240303478855e+01 6.116752663969312e-02 -1.637676984453099e-02
1.021359585492178e+01 5.969213920105510e-02 -1.598236025441494e-02
1.030478867505501e+01 5.825228618039795e-02 -1.559740721725411e-02
1.039598149518824e+01 5.684711544943021e-02 -1.522168697800930e-02
1.048717431532147e+01 5.547579505215978e-02 -1.485498086510029e-02
1.057836713545470e+01 5.413751274590387e-02 -1.449707518998912e-02
1.066955995558793e+01 5.283147555141736e-02 -1.414776114763064e-02
1.076075277572116e+01 5.155690931205643e-02 -1.380683471787745e-02
1.085194559585439e+01 5.031305826188696e-02 -1.347409656791639e-02
1.094313841598762e+01 4.909918460264018e-02 -1.314935195580548e-02
1.103433123612085e+01 4.791456808941275e-02 -1.283241063517182e-02
1.112552405625408e+01 4.675850562500252e-02 -1.252308676112365e-02
1.121671687638731e+01 4.563031086276752e-02 -1.222119879742278e-02
1.130790969652054e+01 4.452931381789087e-02 -1.192656942495750e-02
1.139910251665377e+01 4.345486048693197e-02 -1.163902545154989e-02
1.149029533678700e+01 4.240631247554046e-02 -1.135839772312658e-02
1.158148815692023e+01 4.138304663420772e-02 -1.108452103627663e-02
1.167268097705346e+01 4.038445470192856e-02 -1.081723405221606e-02
1.176387379718669e+01 3.940994295764385e-02 -1.055637921217414e-02
1.185506661731992e+01 3.845893187933419e-02 -1.030180265421305e-02
1.194625943745315e+01 3.753085581063317e-02 -1.005335413148876e-02
1.203745225758638e+01 3.662516263482894e-02 -9.810886931958135e-03
1.212864507771961e+01 3.574131345612172e-02 -9.574257799534134e-03
1.221983789785284e+01 3.487878228800548e-02 -9.343326856688570e-03
1.231103071798607e+01 3.403705574864176e-02 -9.117957528499343e-03
1.240222353811930e+01 3.321563276309415e-02 -8.898016468137012e-03
1.249341635825254e+01 3.241402427229258e-02 -8.683373483783627e-03
1.258460917838577e+01 3.163175294859690e-02 -8.473901466974923e-03
1.267580199851900e+01 3.086835291783094e-02 -8.269476322355434e-03
1.276699481865223e+01 3.012336948765812e-02 -8.069976898834682e-03
1.285818763878546e+01 2.939635888217191e-02 -7.875284922131305e-03
1.294938045891869e+01 2.868688798257502e-02 -7.685284928690829e-03
1.304057327905192e+01 2.799453407382265e-02 -7.499864200961867e-03
1.313176609918515e+01 2.731888459710692e-02 -7.318912704014562e-03
1.322295891931838e+01 2.665953690806052e-02 -7.142323023484365e-03
1.331415173945161e+01 2.601609804055979e-02 -6.969990304823547e-03
1.340534455958484e+01 2.538818447600864e-02 -6.801812193842249e-03
1.349653737971807e+01 2.477542191798663e-02 -6.637688778520398e-03
1.358773019985130e+01 2.417744507214615e-02 -6.477522532071375e-03
1.367892301998453e+01 2.359389743124540e-02 -6.321218257237985e-03
1.377011584011776e+01 2.302443106520585e-02 -6.168683031800980e-03
1.386130866025099e+01 2.246870641608432e-02 -6.019826155280160e-03
1.395250148038422e+01 2.192639209785194e-02 -5.874559096807940e-03
1.404369430051745e+01 2.139716470087395e-02 -5.732795444155074e-03
1.413488712065068e+01 2.088070860098630e-02 -5.594450853888252e-03
1.422607994078391e+01 2.037671577306663e-02 -5.459443002639148e-03
1.431727276091714e+01 1.988488560899923e-02 -5.327691539464594e-03
1.440846558105037e+01 1.940492473993552e-02 -5.199118039277504e-03
1.449965840118360e+01 1.893654686275315e-02 -5.073645957328321e-03
1.459085122131683e+01 1.847947257061902e-02 -4.951200584716805e-03
1.468204404145006e+01 1.803342918756299e-02 -4.831709004914109e-03
1.477323686158329e+01 1.759815060697124e-02 -4.715100051275250e-03
1.486442968171652e+01 1.717337713390975e-02 -4.601304265522239e-03
1.495562250184975e+01 1.675885533119028e-02 -4.490253857178297e-03
1.504681532198298e+01 1.635433786909307e-02 -4.381882663933832e-03
1.513800814211621e+01 1.595958337866211e-02 -4.276126112925015e-03
1.522920096224944e+01 1.557435630849063e-02 -4.172921182906034e-03
1.532039378238267e+01 1.519842678491612e-02 -4.072206367296358e-03
1.541158660251590e+01 1.483157047554608e-02 -3.973921638084580e-03
1.550277942264913e+01 1.447356845603704e-02 -3.878008410570651e-03
1.559397224278236e+01 1.412420708005134e-02 -3.784409508928605e-03
1.568516506291559e+01 1.378327785231752e-02 -3.693069132572118e-03
1.577635788304882e+01 1.345057730472208e-02 -3.603932823305532e-03
1.586755070318205e+01 1.312590687536161e-02 -3.516947433243249e-03
1.595874352331528e+01 1.280907279048607e-02 -3.432061093480696e-03
1.604993634344851e+01 1.249988594926539e-02 -3.349223183500297e-03
1.614112916358174e+01 1.219816181131314e-02 -3.268384301296250e-03
1.623232198371497e+01 1.190372028690247e-02 -3.189496234202115e-03
1.632351480384820e+01 1.161638562981087e-02 -3.112511930405566e-03
1.641470762398143e+01 1.133598633273185e-02 -3.037385471134910e-03
1.650590044411466e+01 1.106235502519295e-02 -2.964072043502279e-03
1.659709326424789e+01 1.079532837392091e-02 -2.892527913988681e-03
1.668828608438112e+01 1.053474698559605e-02 -2.822710402556388e-03
1.677947890451435e+01 1.028045531193937e-02 -2.754577857374407e-03
1.687067172464758e+01 1.003230155707713e-02 -2.688089630143077e-03
1.696186454478081e+01 9.790137587128742e-03 -2.623206052004101e-03
1.705305736491404e+01 9.553818841965456e-03 -2.559888410022595e-03
1.714425018504727e+01 9.323204249088007e-03 -2.498098924228033e-03
1.723544300518050e+01 9.098156139573028e-03 -2.437800725201204e-03
1.732663582531373e+01 8.878540166038970e-03 -2.378957832194586e-03
1.741782864544696e+01 8.664225222583378e-03 -2.321535131773800e-03
1.750902146558019e+01 8.455083366644672e-03 -2.265498356968057e-03
1.760021428571342e+01 8.250989742742460e-03 -2.210814066917786e-03
1.769140710584665e+01 8.051822508051632e-03 -2.157449627007867e-03
1.778259992597988e+01 7.857462759766445e-03 -2.105373189475153e-03
1.787379274611311e+01 7.667794464211862e-03 -2.054553674479197e-03
1.796498556624634e+01 7.482704387660378e-03 -2.004960751625358e-03
1.805617838637957e+01 7.302082028813613e-03 -1.956564821929681e-03
1.814737120651280e+01 7.125819552908804e-03 -1.909337000215196e-03
1.823856402664603e+01 6.953811727411360e-03 -1.863249097929481e-03
1.832975684677927e+01 6.785955859255492e-03 -1.818273606373606e-03
1.842094966691250e+01 6.622151733595858e-03 -1.774383680332742e-03
1.851214248704573e+01 6.462301554034022e-03 -1.731553122098980e-03
1.860333530717896e+01 6.306309884284387e-03 -1.689756365877090e-03
1.869452812731219e+01 6.154083591245104e-03 -1.648968462564170e-03
1.878572094744542e+01 6.005531789440243e-03 -1.609165064894352e-03
1.887691376757865e+01 5.860565786800349e-03 -1.570322412939897e-03
1.896810658771188e+01 5.719099031749273e-03 -1.532417319960246e-03
1.905929940784511e+01 5.581047061565904e-03 -1.495427158590774e-03
1.915049222797834e+01 5.446327451990217e-03 -1.459329847363168e-03
1.924168504811157e+01 5.314859768043738e-03 -1.424103837549558e-03
1.933287786824480e+01 5.186565516035261e-03 -1.389728100322698e-03
1.942407068837803e+01 5.061368096723349e-03 -1.356182114224676e-03
1.951526350851126e+01 4.939192759607795e-03 -1.323445852936805e-03
1.960645632864449e+01 4.819966558322938e-03 -1.291499773343513e-03
1.969764914877772e+01 4.703618307106315e-03 -1.260324803883234e-03
1.978884196891095e+01 4.590078538316818e-03 -1.229902333179436e-03
1.988003478904418e+01 4.479279460977082e-03 -1.200214198945109e-03
1.997122760917741e+01 4.371154920315493e-03 -1.171242677154179e-03
2.006242042931064e+01 4.265640358283773e-03 -1.142970471473461e-03
2.015361324944387e+01 4.162672775026615e-03 -1.115380702948942e-03
2.024480606957710e+01 4.062190691280533e-03 -1.088456899940281e-03
2.033599888971033e+01 3.964134111679488e-03 -1.062182988297613e-03
2.042719170984356e+01 3.868444488945516e-03 -1.036543281774834e-03
2.051838452997679e+01 3.775064688943010e-03 -1.011522472673729e-03
2.060957735011002e+01 3.683938956575888e-03 -9.871056227133809e-04
2.070077017024325e+01 3.595012882507329e-03 -9.632781541194815e-04
